symbol,ivmean10,ivmean10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,ivmean1080,ivmean1080_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
ACB,0.7462,,0.8739,,0.6185,,1.0798,,1.2485,,0.9112,
ACDC,0.7517,,0.7533,,0.7502,,0.751,,0.7362,,0.7658,
ACEL,0.6014,,0.8786,,0.3242,,0.6014,,0.8786,,0.3242,
ACES,0.4204,,0.4018,,0.4391,,0.3331,,0.2958,,0.3704,
ACGL,0.2926,82.0,0.2884,81.0,0.2968,82.0,0.2741,82.0,0.2727,82.0,0.2755,81.0
ACHC,0.591,90.0,0.6378,93.0,0.5441,86.0,0.6079,98.0,0.6415,99.0,0.5743,96.0
ACHR,0.838,,0.839,,0.8369,,0.858,,0.8516,,0.8645,
ACHV,,,0.8952,,,,,,0.8952,,,
ACI,0.2494,4.0,0.2506,7.0,0.2483,4.0,0.2478,2.0,0.1939,3.0,0.3017,4.0
ACIC,0.5145,,0.5105,,0.5186,,0.547,,0.5448,,0.5491,
ACIW,0.357,53.0,0.381,60.0,0.333,46.0,0.3525,66.0,0.3493,65.0,0.3556,65.0
ACLS,0.5255,53.0,0.5017,46.0,0.5493,60.0,0.5603,70.0,0.5502,67.0,0.5704,74.0
ACLX,0.6344,,0.5898,,0.6789,,0.5933,,0.5878,,0.5988,
ACM,0.3318,57.0,0.3346,60.0,0.329,57.0,0.2949,42.0,0.3109,54.0,0.2789,28.0
ACMR,0.5479,46.0,0.5579,48.0,0.538,45.0,0.6682,53.0,0.6511,51.0,0.6854,57.0
ACN,0.5146,96.0,0.5114,96.0,0.5178,96.0,0.2769,66.0,0.2427,54.0,0.3112,74.0
ACNB,0.3938,,0.4189,,0.3686,,0.3093,,0.289,,0.3295,
ACR,,,0.4891,,,,,,0.3948,,,
ACRE,,,0.3099,,,,,,0.3099,,,
ACT,0.2998,,0.3364,,0.2633,,0.2799,,0.2965,,0.2633,
ACTG,,,0.4498,15.0,,,,,0.4498,13.0,,
ACVA,0.6432,,0.6772,,0.6091,,0.6026,,0.618,,0.5872,
ACWI,0.1729,74.0,0.1689,76.0,0.1769,71.0,0.1615,54.0,0.1312,53.0,0.1918,53.0
ACWX,0.1638,66.0,0.1519,64.0,0.1758,64.0,0.1649,62.0,0.1411,59.0,0.1887,56.0
ADBE,0.2539,31.0,0.2586,34.0,0.2492,30.0,0.3447,63.0,0.346,68.0,0.3434,57.0
ADC,0.2358,46.0,0.2425,56.0,0.229,43.0,0.2126,45.0,0.2189,59.0,0.2063,23.0
ADI,0.2963,54.0,0.2837,50.0,0.3089,57.0,0.3075,61.0,0.2765,52.0,0.3385,67.0
ADM,0.2697,62.0,0.2643,60.0,0.2751,63.0,0.264,51.0,0.1905,15.0,0.3375,84.0
ADMA,0.4645,,0.4938,,0.4352,,0.556,,0.5558,,0.5562,
ADNT,0.5043,51.0,0.5057,51.0,0.5029,51.0,0.5088,50.0,0.5073,50.0,0.5104,51.0
ADP,0.1851,51.0,0.1858,52.0,0.1845,49.0,0.2126,46.0,0.1803,30.0,0.245,60.0
ADPT,1.3379,,1.0822,,1.5936,,0.7634,,0.6136,,0.9131,
ADSE,,,,,1.1428,,,,,,1.1428,
ADSK,0.2797,26.0,0.2792,26.0,0.2802,27.0,0.3312,17.0,0.3279,16.0,0.3344,18.0
ADT,0.3366,31.0,0.305,26.0,0.3681,36.0,0.3599,39.0,0.3677,46.0,0.3521,35.0
ADTN,0.5155,77.0,0.5529,84.0,0.4781,69.0,0.5612,95.0,0.5703,97.0,0.5521,92.0
ADUS,0.3922,54.0,0.3545,37.0,0.4299,70.0,0.2971,12.0,0.2969,13.0,0.2972,12.0
ADVM,1.173,,1.2633,,1.0827,,1.0256,,0.9949,,1.0562,
AEE,0.2108,65.0,0.2064,67.0,0.2151,62.0,0.2058,66.0,0.1804,56.0,0.2313,71.0
AEHR,1.0522,,1.0626,,1.0417,,0.7911,,0.7176,,0.8646,
AEIS,0.4403,47.0,0.4562,53.0,0.4244,41.0,0.4198,42.0,0.4147,42.0,0.4249,43.0
AEM,0.3207,24.0,0.3245,25.0,0.3169,21.0,0.3433,20.0,0.3496,25.0,0.337,15.0
AEO,0.4458,61.0,0.4358,59.0,0.4559,63.0,0.4875,82.0,0.4983,87.0,0.4767,65.0
AEP,0.2168,75.0,0.2001,70.0,0.2334,77.0,0.2078,61.0,0.1428,25.0,0.2729,78.0
AER,0.2653,30.0,0.2518,27.0,0.2789,33.0,0.2949,34.0,0.2762,28.0,0.3136,40.0
AES,0.3851,74.0,0.3899,76.0,0.3803,74.0,0.4119,78.0,0.44,83.0,0.3838,66.0
AESI,0.4784,,0.4096,,0.5473,,0.4566,,0.3809,,0.5322,
AETH,0.6404,,0.6138,,0.667,,0.6386,,0.6261,,0.6511,
AEVA,1.8765,,0.9417,,2.8113,,0.8873,,0.907,,0.8675,
AEYE,0.8042,,0.8089,,0.7995,,0.9579,,0.9768,,0.939,
AFCG,,,0.3349,,,,,,0.3349,,,
AFG,0.2328,57.0,0.2062,48.0,0.2593,67.0,0.2168,57.0,0.1964,47.0,0.2372,62.0
AFK,,,,,0.2817,,,,,,0.2817,
AFL,0.1974,46.0,0.1971,48.0,0.1977,44.0,0.2228,51.0,0.1895,40.0,0.2562,56.0
AFRM,0.7061,,0.7133,,0.6988,,0.7164,,0.7209,,0.7119,
AFYA,,,0.6219,,,,,,0.6219,,,
AG,0.6001,67.0,0.5933,64.0,0.6069,69.0,0.5774,39.0,0.565,33.0,0.5899,47.0
AGCO,0.3501,69.0,0.3524,71.0,0.3478,66.0,0.3211,53.0,0.2797,38.0,0.3625,62.0
AGEN,,,,,1.5421,95.0,,,,,1.5421,94.0
AGG,0.0574,72.0,0.0501,70.0,0.0646,67.0,0.067,83.0,0.0501,79.0,0.0839,79.0
AGI,0.336,7.0,0.3411,9.0,0.331,6.0,0.3828,9.0,0.3648,7.0,0.4008,14.0
AGIO,0.6136,53.0,0.6287,57.0,0.5984,50.0,0.7326,91.0,0.7357,91.0,0.7296,90.0
AGL,0.7736,,0.7783,,0.7688,,0.9482,,1.0219,,0.8746,
AGM,0.3117,33.0,0.336,47.0,0.2874,20.0,0.2833,15.0,0.2637,12.0,0.3029,20.0
AGNC,0.1992,55.0,0.1917,59.0,0.2066,50.0,0.2241,40.0,0.2417,64.0,0.2065,22.0
AGNG,,,0.1443,,,,,,0.1443,,,
AGO,0.2893,45.0,0.2772,43.0,0.3014,47.0,0.2948,40.0,0.285,42.0,0.3047,39.0
AGQ,0.4978,41.0,0.4916,41.0,0.504,43.0,0.5803,47.0,0.5499,46.0,0.6107,46.0
AGRO,,,,,1.3568,100.0,,,,,1.3568,100.0
AGX,0.6792,95.0,0.7082,94.0,0.6501,91.0,0.642,99.0,0.6216,98.0,0.6625,100.0
AGYS,0.5456,77.0,0.6189,84.0,0.4722,63.0,0.5356,82.0,0.5502,85.0,0.5211,79.0
AGZ,,,,,0.1011,,,,,,0.1011,
AHCO,0.4007,,0.4264,,0.375,,0.45,,0.445,,0.4549,
AHR,0.3578,,0.2909,,0.4246,,0.349,,0.3155,,0.3826,
AI,0.6047,60.0,0.6064,61.0,0.603,64.0,0.6898,65.0,0.6462,66.0,0.7334,79.0
AIA,0.2338,,0.2299,,0.2377,,0.2098,,0.1818,,0.2377,
AIBU,0.6049,,0.5876,,0.6222,,0.5615,,0.5463,,0.5767,
AIEQ,0.209,,0.1889,,0.2292,,0.2092,,0.1842,,0.2341,
AIG,0.2172,40.0,0.2151,41.0,0.2194,39.0,0.2571,44.0,0.2251,34.0,0.2891,49.0
AIN,0.4744,80.0,0.3241,42.0,0.6246,95.0,0.3083,50.0,0.3143,51.0,0.3022,53.0
AIOT,0.9182,,1.1187,,0.7176,,0.6308,,0.5439,,0.7176,
AIP,0.6304,,0.6547,,0.6061,,0.6304,,0.6547,,0.6061,
AIPI,0.2858,,0.1409,,0.4306,,0.4198,,0.1409,,0.6986,
AIQ,0.2468,,0.2384,,0.2553,,0.2509,,0.2437,,0.2581,
AIR,0.3776,49.0,0.3474,38.0,0.4077,60.0,0.3328,34.0,0.3266,33.0,0.3391,34.0
AIRG,,,0.9841,,,,,,0.9841,,,
AIRR,0.2547,,0.2493,,0.2601,,0.2436,,0.235,,0.2521,
AIRS,,,1.0399,,,,,,0.8086,,,
AISP,1.2239,,1.1515,,1.2962,,1.3414,,0.7004,,1.9824,
AIT,0.3176,60.0,0.2849,49.0,0.3502,69.0,0.3175,66.0,0.316,67.0,0.319,63.0
AIV,0.3336,60.0,0.3315,61.0,0.3356,59.0,0.3376,62.0,0.3395,66.0,0.3356,61.0
AIVC,0.2723,,0.2777,,0.2669,,0.2592,,0.2593,,0.2591,
AIVI,0.1587,,0.1417,,0.1756,,0.1493,,0.123,,0.1756,
AIVL,0.1289,,0.1134,,0.1443,,0.1312,,0.1107,,0.1518,
AIYY,0.3985,,0.2553,,0.5418,,1.0956,,0.2898,,1.9013,
AIZ,0.211,35.0,0.2241,45.0,0.1978,24.0,0.2257,37.0,0.2135,37.0,0.2379,37.0
AJG,0.2523,78.0,0.2416,75.0,0.263,78.0,0.2288,68.0,0.2209,67.0,0.2366,70.0
AKAM,0.2847,36.0,0.2751,34.0,0.2943,39.0,0.3724,54.0,0.3638,52.0,0.3811,55.0
AKBA,0.8404,43.0,0.7614,31.0,0.9194,56.0,0.7638,23.0,0.7566,23.0,0.7709,26.0
AKR,0.5346,84.0,0.4013,66.0,0.6678,94.0,0.5346,90.0,0.4013,73.0,0.6678,98.0
AKRO,0.5976,,0.6158,,0.5794,,0.5365,,0.5347,,0.5383,
AL,0.4519,85.0,0.3584,67.0,0.5454,92.0,0.3673,75.0,0.3499,71.0,0.3848,78.0
ALAB,0.8181,,0.8964,,0.7399,,0.7362,,0.7327,,0.7396,
ALB,0.4918,88.0,0.4897,88.0,0.4939,87.0,0.4866,91.0,0.4533,86.0,0.5199,94.0
ALC,0.1916,,0.1632,,0.2201,,0.261,,0.2355,,0.2865,
ALDX,1.8234,,1.7438,,1.9031,,0.8198,,0.7534,,0.8861,
ALEC,2.2513,,2.3065,,2.1961,,1.387,,1.0417,,1.7324,
ALEX,,,,,0.3404,56.0,,,,,0.2971,47.0
ALG,0.2172,8.0,0.2201,12.0,0.2144,7.0,0.2518,9.0,0.2562,16.0,0.2474,6.0
ALGM,0.549,,0.5133,,0.5847,,0.3685,,0.3537,,0.3833,
ALGN,0.3979,42.0,0.3803,38.0,0.4155,45.0,0.4769,56.0,0.4773,57.0,0.4765,54.0
ALGT,0.6446,94.0,0.6099,93.0,0.6792,95.0,0.5836,92.0,0.5751,93.0,0.5922,93.0
ALHC,0.672,,0.5991,,0.745,,0.5943,,0.5737,,0.615,
ALIT,0.6744,,0.4978,,0.851,,0.4156,,0.3337,,0.4974,
ALK,0.5102,86.0,0.5367,88.0,0.4837,83.0,0.418,75.0,0.4072,73.0,0.4289,76.0
ALKS,0.45,44.0,0.4285,39.0,0.4716,50.0,0.5142,64.0,0.5154,65.0,0.5131,62.0
ALKT,0.4816,,0.4933,,0.47,,0.4746,,0.4687,,0.4806,
ALL,0.254,74.0,0.253,75.0,0.255,74.0,0.2643,70.0,0.2307,60.0,0.2979,78.0
ALLE,0.2523,55.0,0.2669,65.0,0.2376,44.0,0.2572,63.0,0.2446,56.0,0.2697,68.0
ALLO,,,1.2877,,,,,,1.2877,,,
ALLT,0.974,97.0,1.0923,99.0,0.8558,91.0,0.7632,90.0,0.744,88.0,0.7824,91.0
ALLY,0.3005,48.0,0.3129,56.0,0.2881,41.0,0.3342,49.0,0.2683,18.0,0.4001,68.0
ALNT,0.3002,,0.2874,,0.3129,,0.4294,,0.4801,,0.3787,
ALNY,0.7521,96.0,0.8076,97.0,0.6966,91.0,0.4073,8.0,0.4059,9.0,0.4087,8.0
ALRM,0.3542,35.0,0.2874,13.0,0.421,56.0,0.3736,33.0,0.373,33.0,0.3741,33.0
ALSN,0.2908,52.0,0.2823,52.0,0.2993,52.0,0.3328,79.0,0.3212,80.0,0.3445,78.0
ALT,0.8624,,0.8383,,0.8866,,0.9885,,1.0096,,0.9674,
ALTG,0.5834,,0.5449,,0.622,,0.575,,0.5318,,0.6182,
ALTL,,,,,0.1741,,,,,,0.1741,
ALTO,,,0.5538,,,,,,0.5538,,,
ALTR,,,0.0552,1.0,,,,,0.0552,1.0,,
ALTS,2.4372,,1.4229,,3.4516,,2.3963,,1.341,,3.4516,
ALV,0.3848,81.0,0.3766,80.0,0.393,82.0,0.346,76.0,0.324,72.0,0.368,78.0
ALXO,3.342,,4.741,,1.9429,,1.7774,,1.6118,,1.9429,
AM,0.2366,17.0,0.2278,21.0,0.2455,16.0,0.2407,16.0,0.14,9.0,0.3414,36.0
AMAL,0.4564,,0.5298,,0.3829,,0.374,,0.365,,0.3829,
AMAT,0.4023,70.0,0.418,74.0,0.3866,66.0,0.3876,74.0,0.3922,75.0,0.383,71.0
AMBA,0.5066,53.0,0.5074,55.0,0.5057,51.0,0.5392,67.0,0.5247,64.0,0.5538,65.0
AMBC,0.8271,95.0,0.8138,94.0,0.8404,96.0,0.7446,95.0,0.7465,95.0,0.7427,95.0
AMBP,,,0.2448,,,,,,0.2448,,,
AMBR,1.1046,,1.1558,,1.0535,,0.9711,,0.9634,,0.9788,
AMC,0.6455,53.0,0.6679,55.0,0.623,50.0,0.8708,56.0,0.8517,70.0,0.8899,55.0
AMCR,0.2589,,0.225,,0.2928,,0.2871,,0.2464,,0.3278,
AMCX,0.7328,91.0,0.7899,94.0,0.6757,85.0,0.6706,96.0,0.6689,96.0,0.6724,95.0
AMD,0.387,13.0,0.3892,14.0,0.3849,13.0,0.4713,24.0,0.4708,28.0,0.4718,23.0
AMDL,0.8085,,0.8172,,0.7998,,0.8952,,0.8598,,0.9306,
AMDS,0.4176,,0.4195,,0.4157,,0.4452,,0.4556,,0.4348,
AMDY,0.3067,,0.1755,,0.4379,,0.639,,0.1755,,1.1025,
AME,0.2213,40.0,0.2029,28.0,0.2397,53.0,0.2408,56.0,0.2396,54.0,0.242,55.0
AMED,0.1433,3.0,0.1148,3.0,0.1718,4.0,0.1105,1.0,0.0604,1.0,0.1606,3.0
AMG,0.3735,77.0,0.3622,75.0,0.3848,78.0,0.2613,31.0,0.2663,37.0,0.2563,24.0
AMGN,0.21,35.0,0.2189,43.0,0.2012,28.0,0.2646,57.0,0.2674,67.0,0.2617,28.0
AMH,0.2859,77.0,0.2992,81.0,0.2725,70.0,0.2934,87.0,0.2992,89.0,0.2875,82.0
AMKR,0.4274,30.0,0.4297,32.0,0.4251,30.0,0.4738,45.0,0.4395,31.0,0.5082,54.0
AMLP,0.1472,24.0,0.1287,31.0,0.1657,26.0,0.1666,28.0,0.0592,8.0,0.274,41.0
AMLX,1.2246,,1.424,,1.0252,,0.9764,,0.9275,,1.0252,
AMN,0.6592,91.0,0.671,92.0,0.6473,90.0,0.6888,98.0,0.6947,98.0,0.6828,98.0
AMOM,0.3436,,0.373,,0.3142,,0.3415,,0.3532,,0.3298,
AMP,0.235,39.0,0.2507,49.0,0.2194,28.0,0.2594,41.0,0.2446,39.0,0.2742,42.0
AMPH,0.4853,30.0,0.42,16.0,0.5506,55.0,0.4314,26.0,0.4187,23.0,0.4441,35.0
AMPL,0.4707,,0.5175,,0.4239,,0.5462,,0.5315,,0.561,
AMPX,1.3839,,1.3544,,1.4134,,1.1752,,1.039,,1.3113,
AMPY,0.4951,,0.5019,,0.4883,,0.5858,,0.72,,0.4516,
AMR,0.5458,30.0,0.4944,16.0,0.5971,41.0,0.5909,41.0,0.5897,44.0,0.5921,38.0
AMRC,0.7984,92.0,0.7945,90.0,0.8024,93.0,0.7239,94.0,0.7426,95.0,0.7052,92.0
AMRK,0.4142,,0.4098,,0.4185,,0.4756,,0.4755,,0.4757,
AMSC,0.9279,88.0,1.034,92.0,0.8218,78.0,0.7993,83.0,0.7653,79.0,0.8333,86.0
AMSF,0.2415,28.0,0.2237,26.0,0.2593,34.0,0.2306,25.0,0.2237,31.0,0.2376,24.0
AMT,0.2577,59.0,0.2297,48.0,0.2857,69.0,0.2698,48.0,0.2808,64.0,0.2588,28.0
AMTM,0.6096,,0.6217,,0.5976,,0.5229,,0.5425,,0.5033,
AMTX,1.3391,,1.4907,,1.1875,,1.3391,,1.4907,,1.1875,
AMWD,0.5222,85.0,0.4352,63.0,0.6092,92.0,0.4457,73.0,0.4487,73.0,0.4427,71.0
AMWL,0.8884,,0.9073,,0.8694,,0.886,,1.1204,,0.6517,
AMX,0.39,88.0,0.3394,75.0,0.4405,92.0,0.3062,56.0,0.2726,38.0,0.3398,71.0
AMZA,0.3314,,0.1934,,0.4694,,0.2331,,0.137,,0.3292,
AMZD,,,,,0.5393,,,,,,0.5393,
AMZN,0.3133,48.0,0.3143,49.0,0.3123,48.0,0.3375,39.0,0.335,41.0,0.3399,38.0
AMZU,0.634,,0.6005,,0.6676,,0.656,,0.6228,,0.6892,
AMZY,0.2043,,0.0732,,0.3354,,0.3477,,0.0732,,0.6222,
AMZZ,0.6876,,0.5498,,0.8255,,0.6434,,0.603,,0.6837,
AN,0.3331,61.0,0.3337,62.0,0.3325,60.0,0.334,57.0,0.3335,59.0,0.3345,52.0
ANAB,1.1644,,0.981,,1.3478,,1.0662,,1.0634,,1.0689,
ANDE,0.3288,26.0,0.3046,22.0,0.3529,35.0,0.385,49.0,0.4101,62.0,0.3598,37.0
ANET,0.4252,69.0,0.4309,72.0,0.4196,67.0,0.4712,92.0,0.4621,90.0,0.4803,91.0
ANEW,0.1774,,0.1741,,0.1806,,0.1787,,0.1722,,0.1852,
ANF,0.5216,74.0,0.5372,76.0,0.506,70.0,0.6092,94.0,0.6024,95.0,0.616,90.0
ANGI,1.0718,98.0,0.767,78.0,1.3767,100.0,1.0616,100.0,1.3036,100.0,0.8196,92.0
ANGO,0.9501,98.0,0.9457,97.0,0.9545,97.0,0.684,97.0,0.6871,96.0,0.6808,96.0
ANIP,0.3638,17.0,0.2934,4.0,0.4343,39.0,0.4508,45.0,0.4449,44.0,0.4568,47.0
ANIX,,,1.6224,,,,,,1.6224,,,
ANNX,3.8846,,6.6614,,1.1077,,3.8846,,6.6614,,1.1077,
ANRO,1.0894,,0.9831,,1.1957,,2.3553,,3.6279,,1.0827,
ANSS,0.4433,88.0,0.5407,95.0,0.3459,62.0,0.2826,36.0,0.2846,38.0,0.2806,35.0
AOA,0.1591,,0.1544,,0.1637,,0.1633,,0.1539,,0.1727,
AON,0.1898,49.0,0.1936,54.0,0.186,44.0,0.2225,64.0,0.2135,59.0,0.2315,66.0
AOR,,,0.105,,,,,,0.105,,,
AORT,0.53,,0.6514,,0.4086,,0.3939,,0.3791,,0.4086,
AOS,0.3146,67.0,0.3789,84.0,0.2502,36.0,0.2674,44.0,0.2486,36.0,0.2863,54.0
AOSL,0.7504,88.0,0.764,87.0,0.7368,87.0,0.8328,100.0,0.8347,99.0,0.8309,99.0
AOUT,0.5564,,0.5916,,0.5211,,0.5114,,0.5016,,0.5211,
APA,0.393,67.0,0.3883,66.0,0.3976,67.0,0.4242,77.0,0.4237,80.0,0.4248,71.0
APAM,0.2616,16.0,0.2495,26.0,0.2738,19.0,0.2836,36.0,0.2223,31.0,0.345,52.0
APD,0.2075,43.0,0.1975,37.0,0.2175,48.0,0.2763,77.0,0.2808,81.0,0.2718,66.0
APEI,0.5234,59.0,0.5217,57.0,0.525,60.0,0.6558,89.0,0.6614,89.0,0.6503,88.0
APG,0.4473,,0.5127,,0.3819,,0.3316,,0.3415,,0.3218,
APGE,1.0644,,1.4679,,0.6608,,0.7728,,0.7624,,0.7833,
APH,0.3126,74.0,0.314,75.0,0.3112,72.0,0.3028,70.0,0.2781,54.0,0.3274,79.0
API,1.072,,0.9821,,1.162,,0.9506,,0.9087,,0.9924,
APLD,1.0545,,1.029,,1.0801,,0.9494,,0.929,,0.9698,
APLE,0.2824,,0.2729,,0.292,59.0,0.239,,0.1735,,0.3045,65.0
APLS,0.5838,,0.5821,,0.5854,,0.5796,,0.5776,,0.5815,
APLT,1.9586,,1.9519,,1.9653,,1.9586,,1.9519,,1.9653,
APLY,,,0.2095,,,,,,0.0981,,,
APO,0.397,78.0,0.3473,68.0,0.4467,84.0,0.3566,69.0,0.3301,73.0,0.3831,53.0
APOG,0.5993,86.0,0.734,94.0,0.4645,67.0,0.4642,76.0,0.4303,70.0,0.498,81.0
APP,0.7405,,0.7196,,0.7613,,0.746,,0.7331,,0.7589,
APPF,0.3446,,0.3579,,0.3314,,0.4129,,0.408,,0.4178,
APPN,0.4863,,0.4492,,0.5235,,0.496,,0.4955,,0.4964,
APPS,1.1103,,1.1152,,1.1054,,1.0961,,1.1068,,1.0854,
APT,0.9328,,0.5427,,1.3229,,0.6789,,0.6803,,0.6775,
APTV,0.3258,,0.3226,,0.3291,,0.3695,,0.3714,,0.3676,
AQN,,,,,0.3378,,,,,,0.3378,
AQST,,,0.9364,,,,,,0.9364,,,
AR,0.4536,46.0,0.5176,57.0,0.3897,35.0,0.3952,31.0,0.3847,30.0,0.4056,32.0
ARAY,,,1.7651,99.0,,,,,0.722,81.0,,
ARBE,1.5223,,1.5237,,1.5209,,1.4535,,1.3862,,1.5209,
ARCB,0.5162,71.0,0.3863,23.0,0.6461,93.0,0.4254,27.0,0.4227,32.0,0.4282,23.0
ARCC,0.1862,50.0,0.1974,63.0,0.175,36.0,0.2212,52.0,0.1256,34.0,0.3168,57.0
ARCO,0.404,40.0,0.3772,32.0,0.4307,50.0,0.4214,53.0,0.3772,35.0,0.4656,70.0
ARCT,0.9144,,0.937,,0.8917,,0.8464,,0.8808,,0.8121,
ARDT,0.555,,0.6194,,0.4907,,0.5364,,0.4697,,0.6031,
ARDX,0.6752,,0.6621,,0.6882,,0.6761,,0.6675,,0.6847,
ARE,0.2726,68.0,0.2127,46.0,0.3326,81.0,0.2718,68.0,0.2739,74.0,0.2697,62.0
ARES,0.402,84.0,0.434,89.0,0.3699,66.0,0.3804,89.0,0.3638,89.0,0.3971,82.0
ARGT,0.313,63.0,0.3154,71.0,0.3106,59.0,0.3236,76.0,0.3184,86.0,0.3288,63.0
ARGX,0.2628,,0.2616,,0.2639,,0.3053,,0.3042,,0.3064,
ARHS,0.6647,,0.6297,,0.6998,,0.5622,,0.5887,,0.5358,
ARI,0.1859,10.0,0.1426,10.0,0.2292,32.0,0.2318,30.0,0.2286,57.0,0.235,31.0
ARIS,0.547,,0.5604,,0.5335,,0.5635,,0.5647,,0.5623,
ARKF,0.3818,,0.3667,,0.3968,,0.35,,0.3374,,0.3625,
ARKK,0.4738,,0.4732,,0.4743,,0.4014,,0.3628,,0.44,
ARKO,,,0.8586,,,,,,0.6144,,,
ARKW,0.4438,,0.4246,,0.4631,,0.3826,,0.3689,,0.3962,
ARLO,0.8524,,1.0977,,0.6071,,0.5822,,0.5851,,0.5793,
ARLP,0.3584,57.0,0.2822,39.0,0.4345,67.0,0.2801,28.0,0.1696,9.0,0.3906,57.0
ARM,0.549,,0.5498,69.0,0.5481,63.0,0.5945,,0.5896,76.0,0.5994,67.0
ARMK,0.3876,83.0,0.3439,76.0,0.4314,88.0,0.3029,69.0,0.279,63.0,0.3268,71.0
AROC,0.4432,45.0,0.3948,37.0,0.4917,53.0,0.393,28.0,0.38,46.0,0.406,19.0
AROW,0.3873,,0.3475,,0.4272,,0.3873,,0.3475,,0.4272,
ARQ,,,0.6329,,,,,,0.5437,,,
ARQQ,2.2414,,1.9286,,2.5542,,1.3453,,0.7191,,1.9715,
ARQT,1.5588,,1.6421,,1.4755,,0.7031,,0.6943,,0.7119,
ARR,0.2139,30.0,0.1751,31.0,0.2527,39.0,0.27,44.0,0.0988,10.0,0.4411,81.0
ARRY,0.7246,47.0,0.7083,45.0,0.7409,52.0,0.738,55.0,0.7582,61.0,0.7178,49.0
ARTY,0.3218,,0.2871,,0.3565,,0.3289,,0.3065,,0.3513,
ARVN,0.7414,,0.7061,,0.7767,,0.7282,,0.7325,,0.7238,
ARVR,0.2294,,0.2429,,0.216,,0.2298,,0.2353,,0.2243,
ARW,0.4152,86.0,0.4541,90.0,0.3762,77.0,0.2801,40.0,0.2922,50.0,0.268,28.0
ARWR,0.9182,80.0,0.8202,68.0,1.0162,87.0,0.5959,8.0,0.6029,9.0,0.5889,8.0
AS,0.5292,,0.5295,,0.529,,0.5448,,0.5468,,0.5428,
ASA,,,0.305,34.0,,,,,0.4405,84.0,,
ASAN,0.5473,,0.5382,,0.5564,,0.608,,0.5937,,0.6223,
