symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
AES,36.0,,,10.779999732971191,,0.6168,91.0,0.3995,83.0,0.5908,91.0,0.6114,91.0,0.4501,87.0,0.3745,84.0,0.4757,87.0,0.4496,82.0
AESI,40.0,,,13.800000190734863,,1.1422,,0.7372,,0.9104,,0.7725,,0.5043,,0.4237,,0.4595,,0.6435,
AETH,,,,27.34000015258789,,0.4174,,0.0295,,0.6374,,0.6951,,0.5527,,0.2368,,0.5976,,0.5422,
AEVA,17.0,,,6.570000171661377,,1.0133,78.0,1.0766,92.0,1.0701,82.0,1.2139,95.0,0.9104,62.0,0.8203,56.0,0.8745,60.0,0.9941,74.0
AEYE,24.0,,,9.970000267028809,,0.8288,60.0,0.8022,54.0,1.1652,82.0,1.3132,64.0,0.9175,78.0,0.7826,35.0,1.3414,100.0,1.3194,66.0
AFCG,23.0,,,5.050000190734863,,0.6906,98.0,0.4887,97.0,,,2.9232,100.0,0.4655,85.0,0.3782,100.0,,,0.4712,27.0
AFG,60.0,,,121.80999755859376,,0.45,93.0,0.2819,86.0,0.3778,90.0,0.3905,90.0,0.2424,67.0,0.1975,63.0,0.2831,80.0,0.291,83.0
AFK,,,,15.449999809265137,,0.459,100.0,0.3026,99.0,0.3236,,0.4217,,0.2286,77.0,0.1954,59.0,0.3236,,0.4217,
AFL,59.0,,,101.9800033569336,,0.5746,95.0,0.3538,91.0,0.5148,96.0,0.4239,93.0,0.2431,67.0,0.1913,57.0,0.2241,59.0,0.3052,74.0
AFMD,142.0,,,0.5699999928474426,,0.7358,68.0,0.9943,87.0,,,,,0.8468,65.0,0.8385,70.0,,,,
AFRM,58.0,,,35.75,,1.296,85.0,0.9551,80.0,1.11,80.0,1.2,87.0,0.8666,43.0,0.6756,34.0,1.0103,99.0,0.725,25.0
AFYA,23.0,,,17.079999923706055,,0.3725,47.0,0.2384,3.0,0.54,36.0,,,0.3514,24.0,0.2807,7.0,0.54,45.0,,
AG,44.0,,,5.579999923706055,,0.8787,90.0,0.6237,85.0,0.821,97.0,0.5827,63.0,0.6226,61.0,0.4962,56.0,0.6117,57.0,0.6002,52.0
