symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days
ABR,99.0,,,9.579999923706055,,0.8093,98.0,0.597,97.0,0.3126,60.0,0.3736,66.0,0.4346,74.0,0.415,87.0,0.3981,94.0,0.2019,53.0,0.433,78.0,0.6641,88.0,20270115.0,7.0,609.0
ABSI,74.0,,,2.6500000953674316,,0.3296,,0.4776,,1.0606,,0.9814,,0.9023,,1.0686,,1.0164,,1.2416,,1.1064,,0.9711,,20251121.0,35.0,189.0
ABT,129.0,,,133.5800018310547,,0.1648,47.0,0.1554,43.0,0.2176,66.0,0.2158,64.0,0.2139,62.0,0.2258,71.0,0.2218,81.0,0.2153,53.0,0.2462,68.0,0.277,79.0,20270115.0,7.0,609.0
ABUS,206.0,,,3.359999895095825,,0.4943,47.0,0.4144,18.0,1.8765,96.0,1.2094,82.0,0.5422,4.0,0.4802,27.0,0.4975,21.0,0.9035,46.0,0.7228,15.0,0.5422,2.0,20270115.0,35.0,609.0
ACA,93.0,,,86.2699966430664,,0.3029,55.0,0.2131,19.0,0.3248,28.0,0.3405,31.0,0.3561,40.0,0.3783,66.0,0.3256,57.0,0.3435,46.0,0.3346,32.0,0.3257,26.0,20251219.0,35.0,217.0
ACAD,94.0,,,21.56999969482422,,0.2904,16.0,0.3258,13.0,0.4811,16.0,0.5764,33.0,0.6716,51.0,0.5772,33.0,0.5168,43.0,0.551,24.0,0.4972,13.0,0.4435,2.0,20251219.0,35.0,217.0
ACB,115.0,,,5.300000190734863,,0.45,22.0,0.5538,33.0,0.861,41.0,0.9117,42.0,0.9624,47.0,0.7934,42.0,0.6353,38.0,0.7731,42.0,0.7796,20.0,0.7862,13.0,20270115.0,35.0,609.0
ACCO,100.0,,,3.5899999141693115,,0.415,77.0,0.2812,43.0,,,,,,,0.4913,89.0,0.3899,84.0,,,,,,,20251219.0,35.0,217.0
ACDC,86.0,,,8.34000015258789,,0.6573,,0.8427,,0.5722,,0.6882,,0.8042,,0.9764,,0.8425,,0.6232,,0.7826,,0.942,,20251121.0,35.0,189.0
ACEL,213.0,,,11.220000267028809,,0.0902,1.0,0.1337,1.0,0.3922,23.0,0.384,,0.3758,15.0,0.3332,28.0,0.3099,38.0,0.3922,31.0,0.384,,0.3758,16.0,20260116.0,35.0,245.0
ACES,,,,24.299999237060547,,0.3004,41.0,0.1717,5.0,0.2517,9.0,0.2766,9.0,0.3015,17.0,0.3394,33.0,0.2752,49.0,0.226,4.0,0.2562,6.0,0.2864,7.0,20251219.0,35.0,217.0
ACET,86.0,,,0.7182999849319458,,0.9345,90.0,0.786,85.0,,,,,,,1.0225,86.0,0.8889,92.0,,,,,,,20260116.0,35.0,245.0
ACGL,110.0,,,95.04000091552734,,0.2581,80.0,0.2375,79.0,0.1538,9.0,0.1812,25.0,0.2087,45.0,0.2775,87.0,0.241,84.0,0.2385,63.0,0.2436,64.0,0.2486,66.0,20251219.0,35.0,217.0
ACHC,93.0,,,22.639999389648438,,0.5483,90.0,0.3753,73.0,0.5896,90.0,0.5868,90.0,0.584,90.0,0.6178,95.0,0.4795,88.0,0.6365,99.0,0.5936,98.0,0.5508,94.0,20260116.0,35.0,245.0
