percentiles,hv10,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv20,phv30,phv60,phv90
13,0.17106,0.210084,0.221016,0.229972,0.244484,0.299382,0.314382,0.312528,0.3136819999999999,0.313946,0.2995819999999999,0.314382,0.300182,0.314382,0.306846,0.314382,0.3128,0.307982,0.314228,0.313282,0.310864,0.311364,0.3076819999999999,0.314228,0.3084,0.314228,0.3116819999999999,0.314228,0.313964,0.305346,0.317546,0.315164,0.3131819999999999,0.3143,0.3065,0.317546,0.3087020000000001,0.317546,0.3116819999999999,0.317546,0.315382,0.215852,0.2254,0.24295,0.24645,0.256536
14,0.17667,0.2137,0.2249799999999999,0.2352199999999999,0.249545,0.3024,0.3171,0.3163,0.31619,0.316535,0.302935,0.3171,0.304345,0.3171,0.3097,0.3171,0.31469,0.309845,0.31908,0.318235,0.315935,0.315245,0.3097,0.31908,0.311,0.31908,0.31459,0.31908,0.318535,0.3089,0.32099,0.31972,0.319345,0.318945,0.310045,0.32099,0.311445,0.32099,0.31399,0.32099,0.3199349999999999,0.2182,0.2298599999999999,0.24625,0.250675,0.2589
15,0.181384,0.217148,0.2272,0.2431,0.252896,0.306,0.3201319999999999,0.3191319999999999,0.3188399999999999,0.3184,0.3064,0.3201319999999999,0.3087,0.3201319999999999,0.3121,0.3201319999999999,0.317648,0.312708,0.3236,0.322208,0.319508,0.321216,0.312708,0.3236,0.313324,0.3236,0.316308,0.3236,0.322708,0.311508,0.325408,0.3232,0.322116,0.322808,0.312008,0.325408,0.3133,0.325408,0.3164,0.325408,0.3233,0.222488,0.235028,0.2486199999999999,0.2546,0.260564
16,0.185672,0.220401,0.231144,0.2468,0.2548,0.309842,0.3232,0.321113,0.3209,0.322313,0.310813,0.3232,0.312071,0.3232,0.315142,0.3232,0.319871,0.315271,0.327471,0.325171,0.325271,0.326442,0.315642,0.327471,0.3164,0.327471,0.3185,0.327471,0.3249,0.3133,0.328442,0.3269,0.325642,0.326742,0.313871,0.328442,0.3158,0.328442,0.318313,0.328442,0.326471,0.226103,0.240084,0.251965,0.258525,0.262036
17,0.189944,0.224218,0.235068,0.251832,0.2575,0.313368,0.325768,0.3242,0.3249,0.3262339999999999,0.3136339999999999,0.325768,0.3152,0.325768,0.3185,0.325768,0.322034,0.318,0.3314359999999999,0.328668,0.330134,0.331102,0.3189,0.3314359999999999,0.319302,0.3314359999999999,0.321134,0.3314359999999999,0.3273,0.316668,0.33107,0.328868,0.328434,0.33,0.3168,0.33107,0.317734,0.33107,0.320802,0.33107,0.329168,0.229062,0.2449,0.2541,0.2622,0.264244
18,0.193202,0.2271,0.238572,0.254224,0.259014,0.315791,0.3279,0.3273,0.328697,0.328994,0.315897,0.3279,0.317297,0.3279,0.3209,0.3279,0.324497,0.321497,0.336185,0.332191,0.3344,0.335197,0.321597,0.336185,0.3219,0.336185,0.3236,0.336185,0.331291,0.318797,0.334997,0.331494,0.331197,0.332,0.319197,0.334997,0.320297,0.334997,0.323997,0.334997,0.331585,0.234063,0.248488,0.255755,0.264375,0.2662759999999999
19,0.20034,0.23086,0.24136,0.25834,0.2606,0.3182,0.32994,0.32932,0.3317,0.33072,0.3186,0.32994,0.31932,0.32994,0.3236,0.32994,0.32716,0.32358,0.33856,0.33606,0.3376,0.33894,0.32432,0.33856,0.32486,0.33856,0.32596,0.33856,0.3341,0.32182,0.3368,0.3341,0.33476,0.33642,0.32182,0.3368,0.3224,0.3368,0.3265,0.3368,0.33466,0.23668,0.25272,0.2578,0.2666,0.2714
20,0.207344,0.2344129999999999,0.2443,0.261528,0.2629,0.319723,0.3328,0.3325149999999999,0.3346,0.334646,0.320123,0.3328,0.3218459999999999,0.3328,0.327,0.3328,0.3306,0.326546,0.341323,0.338346,0.3409919999999999,0.342069,0.326423,0.341323,0.328746,0.341323,0.328246,0.341323,0.3362,0.3238229999999999,0.339323,0.3382,0.338192,0.3397,0.3242,0.339323,0.324946,0.339323,0.329,0.339323,0.337323,0.240339,0.257376,0.26,0.268325,0.273684
21,0.2114,0.237866,0.246604,0.2648,0.266166,0.321986,0.336486,0.3348859999999999,0.337,0.3386,0.322186,0.336486,0.3244,0.336486,0.329958,0.336486,0.333644,0.330272,0.344086,0.340572,0.343586,0.344572,0.330272,0.344086,0.331,0.344086,0.332586,0.344086,0.3382,0.3265,0.3425,0.3398859999999999,0.341,0.3418859999999999,0.327086,0.3425,0.3271,0.3425,0.3318,0.3425,0.3388,0.2442959999999999,0.2605,0.26159,0.2714,0.275188
22,0.217834,0.2412,0.250424,0.268204,0.2687,0.324449,0.339298,0.338249,0.3399,0.3408,0.324849,0.339298,0.3264,0.339298,0.331949,0.339298,0.336747,0.332949,0.346549,0.343498,0.3458,0.346,0.332549,0.346549,0.333349,0.346549,0.336649,0.346549,0.340645,0.3301,0.345349,0.342849,0.344398,0.344949,0.331149,0.345349,0.3301,0.345349,0.336049,0.345349,0.340549,0.247557,0.264692,0.265635,0.2754,0.276792
23,0.2228919999999999,0.244424,0.253556,0.2718,0.2712,0.326924,0.341912,0.340848,0.342448,0.342924,0.327624,0.341912,0.32956,0.341912,0.335424,0.341912,0.339724,0.3359,0.348912,0.346412,0.348212,0.3489359999999999,0.334524,0.348912,0.335012,0.348912,0.338512,0.348912,0.344612,0.3333359999999999,0.3479,0.345924,0.346924,0.34762,0.3338,0.3479,0.332912,0.3479,0.3384,0.3479,0.3433,0.251216,0.268296,0.26898,0.2783,0.2777
24,0.2283,0.2485,0.2563,0.2759,0.2737,0.3302,0.3452,0.344025,0.346975,0.3453,0.3305,0.3452,0.332525,0.3452,0.33815,0.3452,0.342325,0.337275,0.3515,0.3484,0.350275,0.3515,0.337775,0.3515,0.337175,0.3515,0.3419,0.3515,0.346875,0.335625,0.350375,0.3498,0.35075,0.351325,0.3362,0.350375,0.3362,0.350375,0.340775,0.350375,0.34635,0.256875,0.2705,0.2714249999999999,0.2802,0.2802
25,0.2318,0.252852,0.2602,0.278624,0.275656,0.3343379999999999,0.347,0.3473,0.3491,0.347738,0.334938,0.347,0.3357759999999999,0.347,0.3414,0.347,0.344838,0.340576,0.353838,0.351252,0.352738,0.3532,0.3404,0.353838,0.3412,0.353838,0.3452,0.353838,0.349,0.338076,0.3533,0.3521,0.353538,0.354914,0.338314,0.3533,0.339676,0.3533,0.343538,0.3533,0.3479379999999999,0.261102,0.2731,0.27407,0.2819,0.2823
26,0.235566,0.258177,0.264576,0.2812,0.277624,0.337601,0.349601,0.3497,0.3505009999999999,0.3501,0.337701,0.349601,0.339102,0.349601,0.344002,0.349601,0.347904,0.3434,0.355801,0.3534029999999999,0.3548,0.3553,0.3434009999999999,0.355801,0.3441,0.355801,0.347304,0.355801,0.351301,0.3418009999999999,0.357302,0.3544,0.3564009999999999,0.357302,0.342102,0.357302,0.342701,0.357302,0.346601,0.357302,0.350601,0.264893,0.2755,0.2762,0.28365,0.288124
27,0.2385239999999999,0.263784,0.268696,0.284216,0.279284,0.339928,0.351628,0.3518,0.3521,0.352364,0.340792,0.351628,0.3415,0.351628,0.346528,0.351628,0.3506,0.3452,0.358,0.3563,0.357428,0.3584,0.346264,0.358,0.346164,0.358,0.351064,0.358,0.354628,0.345564,0.360064,0.35682,0.3592,0.360264,0.345664,0.360064,0.345392,0.360064,0.349564,0.360064,0.353764,0.267504,0.2773,0.27796,0.2858,0.291624
28,0.242382,0.266279,0.275176,0.286596,0.285874,0.344,0.3532,0.353608,0.354054,0.3537,0.343854,0.3532,0.3442,0.3532,0.349254,0.3532,0.352554,0.3489,0.359927,0.358654,0.360027,0.36,0.349354,0.359927,0.348927,0.359927,0.354289,0.359927,0.357227,0.3482,0.362027,0.359027,0.361327,0.362,0.3482,0.362027,0.349427,0.362027,0.351727,0.362027,0.356254,0.270355,0.2793159999999999,0.2803049999999999,0.2898,0.2945319999999999
29,0.24774,0.26879,0.2801599999999999,0.2920399999999999,0.2904,0.3459,0.35459,0.3553,0.3555,0.3553,0.34559,0.35459,0.34719,0.35459,0.35169,0.35459,0.35519,0.3511,0.36139,0.36079,0.3618,0.36149,0.3518,0.36139,0.3519799999999999,0.36139,0.3582,0.36139,0.3605,0.3509699999999999,0.36418,0.3610899999999999,0.3636,0.3635899999999999,0.3513799999999999,0.36418,0.3522699999999999,0.36418,0.35579,0.36418,0.3585699999999999,0.2739599999999999,0.2812,0.2837,0.2946,0.2978599999999999
30,0.2512,0.2727,0.2848279999999999,0.2963,0.299293,0.349153,0.3559,0.3570529999999999,0.357806,0.3566,0.349153,0.3559,0.349753,0.3559,0.3539529999999999,0.3559,0.357806,0.354653,0.3630529999999999,0.362853,0.364,0.363753,0.355853,0.3630529999999999,0.356,0.3630529999999999,0.3610529999999999,0.3630529999999999,0.362153,0.3542,0.3665,0.363006,0.366253,0.365506,0.355853,0.3665,0.356053,0.3665,0.3584529999999999,0.3665,0.3609529999999999,0.276687,0.285412,0.28879,0.298825,0.3025
31,0.257392,0.275932,0.2896,0.300268,0.308484,0.352348,0.357816,0.359316,0.3593,0.3585319999999999,0.352016,0.357816,0.3526,0.357816,0.3571,0.357816,0.360016,0.358516,0.3645,0.364216,0.3657,0.3655,0.358616,0.3645,0.358832,0.3645,0.3639,0.3645,0.363896,0.356616,0.3696,0.3646319999999999,0.368116,0.369,0.3588,0.3696,0.3593,0.3696,0.361848,0.3696,0.3624,0.279364,0.2892559999999999,0.29424,0.3057,0.316656
32,0.261656,0.281383,0.292952,0.302992,0.314597,0.355995,0.359979,0.361079,0.3615,0.3603,0.356079,0.359979,0.3558,0.359979,0.3598,0.359979,0.3614,0.3611,0.3656,0.366258,0.367679,0.3677,0.361579,0.3656,0.361679,0.3656,0.365379,0.3656,0.366358,0.359379,0.370758,0.367058,0.37,0.371137,0.3608,0.370758,0.361579,0.370758,0.3648,0.370758,0.3653,0.282688,0.292616,0.2976,0.3128,0.32156
33,0.2658,0.284068,0.296896,0.304916,0.317302,0.359884,0.362,0.3629,0.363168,0.3622,0.3602,0.362,0.3587,0.362,0.361942,0.362,0.3644,0.364342,0.367642,0.3675,0.3697,0.3698,0.365542,0.367642,0.363942,0.367642,0.367242,0.367642,0.3687,0.3623,0.373,0.369342,0.3719,0.373142,0.3634,0.373,0.3637,0.373,0.367842,0.373,0.369042,0.2865,0.295736,0.30306,0.31545,0.326936
34,0.2689,0.289,0.30018,0.3073599999999999,0.321,0.36211,0.36331,0.364405,0.36501,0.363905,0.362325,0.36331,0.361415,0.36331,0.3665,0.36331,0.3659,0.3683,0.3699,0.3707149999999999,0.3715,0.371505,0.3684,0.3699,0.36781,0.3699,0.37001,0.3699,0.3721049999999999,0.364715,0.3742,0.371515,0.373315,0.3751,0.366,0.3742,0.3661,0.3742,0.3706049999999999,0.3742,0.3726199999999999,0.289195,0.2995,0.307975,0.317675,0.3291199999999999
35,0.273688,0.292572,0.305284,0.309964,0.3247,0.365368,0.365168,0.365736,0.367168,0.365668,0.3665,0.365168,0.366036,0.365168,0.369,0.365168,0.368536,0.372668,0.372536,0.372868,0.3731,0.373272,0.3724,0.372536,0.370568,0.372536,0.3731,0.372536,0.374268,0.367268,0.3761,0.3736,0.3761359999999999,0.376568,0.369172,0.3761,0.368708,0.3761,0.372268,0.3761,0.3759,0.292648,0.302072,0.3129599999999999,0.3211,0.3329879999999999
36,0.276546,0.298074,0.310456,0.3139,0.3295,0.3690239999999999,0.367431,0.368531,0.368431,0.367431,0.3696,0.367431,0.3689,0.367431,0.3714929999999999,0.367431,0.371,0.3766,0.3743,0.3745,0.3743,0.374531,0.3753859999999999,0.3743,0.3741239999999999,0.3743,0.3757,0.3743,0.3766239999999999,0.3722,0.377931,0.3765,0.377662,0.3784,0.3722,0.377931,0.372231,0.377931,0.3747549999999999,0.377931,0.3784,0.2956,0.3067439999999999,0.3166,0.324025,0.335748
37,0.2806,0.302294,0.314832,0.31556,0.335014,0.372794,0.369994,0.3701,0.37,0.369594,0.372988,0.369994,0.3725,0.369994,0.3746,0.369994,0.373794,0.379,0.376094,0.376394,0.3756,0.375788,0.378588,0.376094,0.3772,0.376094,0.377788,0.376094,0.3784,0.377476,0.3794,0.378994,0.3794,0.379788,0.377076,0.3794,0.3757,0.3794,0.377794,0.3794,0.381276,0.299326,0.3116759999999999,0.3222,0.32835,0.3373
38,0.284324,0.307189,0.318564,0.3183,0.340634,0.375528,0.3713,0.3722,0.3716569999999999,0.3710569999999999,0.375528,0.3713,0.3762,0.3713,0.376614,0.3713,0.3763,0.383214,0.3776569999999999,0.3783,0.377057,0.377257,0.3812569999999999,0.3776569999999999,0.380614,0.3776569999999999,0.3793,0.3776569999999999,0.380357,0.3806569999999999,0.3813,0.3815,0.381057,0.380914,0.3801569999999999,0.3813,0.378528,0.3813,0.3797,0.3813,0.3835,0.305104,0.315884,0.326455,0.332625,0.340956
39,0.29014,0.31134,0.32246,0.3225,0.34294,0.37874,0.3728,0.37502,0.37302,0.37262,0.37874,0.3728,0.3794,0.3728,0.37952,0.3728,0.3791,0.38762,0.37894,0.38042,0.37886,0.3788,0.38602,0.37894,0.38282,0.37894,0.38192,0.37894,0.3821,0.38362,0.38254,0.38332,0.38252,0.38254,0.38272,0.38254,0.382,0.38254,0.38186,0.38254,0.3854,0.30896,0.31946,0.331,0.3369,0.3435
40,0.295656,0.316591,0.326008,0.3271,0.3470229999999999,0.381983,0.375283,0.3766,0.375732,0.375383,0.381983,0.375283,0.382983,0.375283,0.382,0.375283,0.381366,0.3909,0.380366,0.3820489999999999,0.3810659999999999,0.379983,0.3886,0.380366,0.386,0.380366,0.3842,0.380366,0.3845,0.386883,0.3845659999999999,0.385483,0.384283,0.3842,0.385483,0.3845659999999999,0.384866,0.3845659999999999,0.384183,0.3845659999999999,0.386966,0.3156,0.323096,0.333445,0.3401,0.3462
41,0.299616,0.3195,0.328896,0.3319,0.3514,0.3856,0.3772459999999999,0.379538,0.3776,0.3777919999999999,0.3858,0.3772459999999999,0.3862919999999999,0.3772459999999999,0.384992,0.3772459999999999,0.3837919999999999,0.393546,0.381592,0.384046,0.3827,0.3818,0.3923,0.381592,0.390046,0.381592,0.385946,0.381592,0.3868919999999999,0.390792,0.3863379999999999,0.3875,0.3862919999999999,0.3857,0.389646,0.3863379999999999,0.388038,0.3863379999999999,0.3868919999999999,0.3863379999999999,0.388946,0.319078,0.3271679999999999,0.3358899999999999,0.34335,0.347468
42,0.304676,0.323665,0.332192,0.334932,0.3575,0.3888089999999999,0.3791,0.381718,0.379718,0.379909,0.388909,0.3791,0.390372,0.3791,0.387,0.3791,0.386418,0.3964089999999999,0.3834,0.3864,0.3848,0.383718,0.395536,0.3834,0.393518,0.3834,0.3882,0.3834,0.389109,0.394727,0.3883089999999999,0.389718,0.3887,0.3879,0.3927,0.3883089999999999,0.393109,0.3883089999999999,0.3901,0.3883089999999999,0.391818,0.322737,0.332444,0.33777,0.346075,0.3488
43,0.309756,0.3274,0.3348,0.3408,0.360664,0.3926,0.381572,0.3844,0.382972,0.382872,0.392988,0.381572,0.393172,0.381572,0.3895,0.381572,0.3884,0.398972,0.385344,0.387844,0.386444,0.3854,0.398772,0.385344,0.397472,0.385344,0.3904,0.385344,0.3906,0.398616,0.390044,0.391172,0.390644,0.389672,0.39626,0.390044,0.3959,0.390044,0.392916,0.390044,0.3944,0.325888,0.3358759999999999,0.34008,0.3489,0.350176
44,0.31583,0.32978,0.33788,0.34548,0.365275,0.395805,0.38367,0.3876,0.3845,0.384335,0.39527,0.38367,0.396205,0.38367,0.391635,0.38367,0.39117,0.4014,0.386735,0.389735,0.388,0.387035,0.4011,0.386735,0.401235,0.386735,0.393535,0.386735,0.392935,0.402105,0.392135,0.39377,0.39224,0.392145,0.401,0.392135,0.399075,0.392135,0.39647,0.392135,0.397,0.329065,0.33896,0.342725,0.3505,0.35148
45,0.3203,0.333946,0.340924,0.348708,0.371652,0.399098,0.386092,0.3897,0.3865,0.386298,0.399396,0.386092,0.399098,0.386092,0.394298,0.386092,0.393196,0.404798,0.388298,0.391896,0.390094,0.389,0.4043,0.388298,0.404198,0.388298,0.397898,0.388298,0.395596,0.406398,0.394096,0.395998,0.3948979999999999,0.3941,0.404992,0.394096,0.402298,0.394096,0.400198,0.394096,0.3993,0.332214,0.343292,0.3455,0.3520999999999999,0.353152
46,0.32533,0.339997,0.3434399999999999,0.35644,0.377182,0.4029659999999999,0.388861,0.3924829999999999,0.389822,0.3895829999999999,0.402161,0.388861,0.402561,0.388861,0.3976439999999999,0.388861,0.3958,0.409361,0.3902609999999999,0.3938,0.3917219999999999,0.390922,0.409261,0.3902609999999999,0.407161,0.3902609999999999,0.401261,0.3902609999999999,0.398422,0.4103219999999999,0.3961,0.398661,0.396761,0.396522,0.4084609999999999,0.3961,0.4056,0.3961,0.402561,0.3961,0.4023219999999999,0.3361,0.34702,0.3470149999999999,0.354575,0.35514
47,0.329684,0.345696,0.347112,0.360552,0.380988,0.4059,0.390948,0.394824,0.3939479999999999,0.393172,0.405948,0.390948,0.404848,0.390948,0.402248,0.390948,0.397924,0.4121,0.392448,0.3956,0.394424,0.393024,0.411524,0.392448,0.409624,0.392448,0.404596,0.392448,0.401424,0.414324,0.3981,0.4017,0.399672,0.398796,0.412496,0.3981,0.409772,0.3981,0.406848,0.3981,0.405524,0.338796,0.351296,0.34926,0.3555,0.358676
48,0.3345939999999999,0.350498,0.348956,0.363252,0.3828,0.409622,0.394387,0.3983,0.3973219999999999,0.395987,0.410031,0.394387,0.408774,0.394387,0.405387,0.394387,0.401048,0.415174,0.394787,0.397874,0.396887,0.395387,0.414774,0.394787,0.412274,0.394787,0.408687,0.394787,0.404948,0.418561,0.4004,0.404374,0.401987,0.4021,0.4165,0.4004,0.413522,0.4004,0.411587,0.4004,0.4079,0.343682,0.354796,0.3515049999999999,0.3574,0.360496
49,0.3413,0.3575,0.3524,0.3723,0.38465,0.41295,0.3969,0.402,0.40015,0.39835,0.41375,0.3969,0.412,0.3969,0.4083,0.3969,0.4047,0.4181,0.39665,0.4017,0.3995,0.39735,0.4171,0.39665,0.4166,0.39665,0.41225,0.39665,0.4081,0.42295,0.40395,0.4078,0.40515,0.4046,0.421,0.40395,0.41755,0.40395,0.4161,0.40395,0.41135,0.34715,0.3575,0.35495,0.36025,0.3629
50,0.3459,0.362401,0.354844,0.3813439999999999,0.3876529999999999,0.417126,0.3996,0.405213,0.402913,0.400713,0.418126,0.3996,0.415226,0.3996,0.412826,0.3996,0.408526,0.4220129999999999,0.4021,0.405113,0.402913,0.4015,0.420626,0.4021,0.418726,0.4021,0.415713,0.4021,0.409639,0.4266,0.4079129999999999,0.411326,0.4082780000000001,0.407326,0.424713,0.4079129999999999,0.422091,0.4079129999999999,0.418639,0.4079129999999999,0.4139,0.3505179999999999,0.360252,0.357085,0.36375,0.364304
51,0.3495,0.368004,0.3573,0.3849,0.3907,0.422128,0.4021,0.4107,0.407028,0.4047,0.4215759999999999,0.4021,0.4189279999999999,0.4021,0.415028,0.4021,0.413204,0.4258,0.405676,0.4079759999999999,0.4088279999999999,0.408008,0.424104,0.405676,0.422276,0.405676,0.4178,0.405676,0.413052,0.4294759999999999,0.411028,0.4133759999999999,0.411452,0.411576,0.427152,0.411028,0.425952,0.411028,0.4220759999999999,0.411028,0.417528,0.354304,0.362704,0.36132,0.3653,0.366108
52,0.355496,0.3712,0.361664,0.390672,0.392859,0.427639,0.405517,0.413656,0.4112,0.408339,0.425839,0.405517,0.4233,0.405517,0.419678,0.405517,0.417239,0.429839,0.4108,0.414339,0.4129730000000001,0.411678,0.427839,0.4108,0.424578,0.4108,0.420539,0.4108,0.415656,0.432817,0.414556,0.4168,0.415478,0.415478,0.431439,0.414556,0.429839,0.414556,0.424739,0.414556,0.420978,0.359127,0.364856,0.36574,0.367725,0.3687
53,0.360528,0.3732,0.367676,0.397072,0.3947,0.432204,0.4086,0.4184179999999999,0.4145,0.411306,0.430204,0.4086,0.427,0.4086,0.4234,0.4086,0.4212,0.434406,0.413604,0.41831,0.416804,0.415402,0.431602,0.413604,0.427402,0.413604,0.4239,0.413604,0.4209,0.436904,0.417604,0.419608,0.4189,0.418702,0.434708,0.417604,0.433002,0.417604,0.4284,0.417604,0.424002,0.365286,0.367808,0.37019,0.37105,0.371216
