percentiles,hv10,hv120,hv150,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv20,phv30,phv60,phv90
27,0.295056,0.4383600000000001,0.42844,0.340068,0.3519,0.3866839999999999,0.4455,0.4183,0.484216,0.479116,0.4813,0.482296,0.428716,0.484232,0.4404,0.484848,0.469216,0.484616,0.473932,0.4200879999999999,0.49,0.4802,0.483252,0.484888,0.429564,0.486488,0.442952,0.488188,0.470576,0.4904,0.4756520000000001,0.419576,0.495076,0.480788,0.484888,0.487476,0.432776,0.489364,0.445676,0.491476,0.4699,0.495276,0.475752,0.318568,0.346736,0.352632,0.331636,0.3373,0.338812,0.345824
28,0.300558,0.44732,0.435635,0.346458,0.356942,0.390886,0.447,0.421988,0.4861,0.482,0.484788,0.4863,0.4315,0.487352,0.4439,0.487188,0.471788,0.486388,0.4784,0.4241,0.491818,0.4823,0.4855589999999999,0.4871,0.4334539999999999,0.489359,0.4480949999999999,0.490377,0.4735,0.4922,0.479059,0.426359,0.496459,0.483,0.4872769999999999,0.4894179999999999,0.4372769999999999,0.491977,0.4494,0.493859,0.4738179999999999,0.496859,0.479859,0.3236639999999999,0.353446,0.359228,0.335958,0.342242,0.3423,0.3483819999999999
29,0.30666,0.4588,0.4557,0.35366,0.36666,0.39762,0.4512,0.4261,0.48812,0.48446,0.48782,0.48946,0.43552,0.49056,0.4482,0.48936,0.47524,0.48832,0.48198,0.42763,0.49343,0.48496,0.48879,0.4909,0.4391,0.49243,0.45114,0.49322,0.4764299999999999,0.4936899999999999,0.4814299999999999,0.43052,0.4983,0.48626,0.48989,0.4931,0.44153,0.4948,0.45326,0.49566,0.4765,0.49903,0.48228,0.32824,0.3585,0.3629,0.3415,0.3463,0.3474399999999999,0.35102
30,0.315448,0.4635,0.458565,0.357048,0.3726379999999999,0.4131419999999999,0.453367,0.4300319999999999,0.4900319999999999,0.4881,0.4918,0.492764,0.439264,0.492732,0.451696,0.492464,0.477832,0.4902,0.4854,0.432801,0.494901,0.4880029999999999,0.4917,0.4944,0.443,0.494702,0.454103,0.4951009999999999,0.479602,0.495602,0.485802,0.434702,0.499702,0.488602,0.492801,0.4961009999999999,0.444502,0.4966009999999999,0.457003,0.4977,0.480102,0.5003,0.485602,0.332262,0.364247,0.3676,0.344862,0.349469,0.353298,0.35458
31,0.322776,0.4653,0.46698,0.361784,0.377872,0.4215879999999999,0.455924,0.4342,0.4921,0.4919,0.4954,0.496804,0.443108,0.495112,0.457012,0.494,0.4818,0.4923,0.488304,0.437572,0.496572,0.4921,0.495372,0.498644,0.4464,0.4977,0.459372,0.49736,0.483088,0.497372,0.488544,0.439072,0.501672,0.492572,0.495944,0.4988,0.448872,0.499272,0.461144,0.499644,0.483472,0.5019,0.488772,0.335104,0.366784,0.376584,0.3509,0.354568,0.360256,0.361392
32,0.3283,0.469364,0.48108,0.367398,0.384502,0.427074,0.463824,0.438252,0.4938,0.494928,0.497552,0.498552,0.446,0.497476,0.4613759999999999,0.4965,0.484328,0.493876,0.490876,0.442686,0.498643,0.4972,0.499343,0.5016430000000001,0.449043,0.499786,0.464386,0.4994,0.487,0.498829,0.491843,0.4431,0.502843,0.496872,0.499972,0.501343,0.452286,0.500943,0.465743,0.5008,0.486886,0.503143,0.4915,0.339932,0.370821,0.382268,0.3574580000000001,0.358367,0.365314,0.369914
33,0.334668,0.4735,0.49094,0.371468,0.390696,0.433672,0.471304,0.441248,0.495796,0.49784,0.5001,0.500896,0.449148,0.499448,0.465248,0.498396,0.487548,0.495796,0.493548,0.4455700000000001,0.5,0.500028,0.502614,0.5034,0.452314,0.5019,0.467214,0.5017280000000001,0.489014,0.500714,0.494014,0.447442,0.5044139999999999,0.501614,0.5034139999999999,0.503928,0.455114,0.5024139999999999,0.469214,0.503014,0.4892,0.504614,0.494714,0.344708,0.373958,0.386876,0.362508,0.362066,0.3683,0.3731
34,0.34164,0.47722,0.493975,0.3779899999999999,0.39725,0.44143,0.4787449999999999,0.4443,0.4975,0.5012399999999999,0.5024,0.50344,0.45224,0.5008,0.4690399999999999,0.50032,0.4898,0.4975199999999999,0.4959,0.4491699999999999,0.5023,0.503385,0.505185,0.505385,0.45497,0.5037,0.4711,0.503685,0.4906,0.502685,0.498085,0.4504,0.5056,0.5045850000000001,0.5055850000000001,0.506185,0.459585,0.505655,0.4725,0.505185,0.491185,0.505885,0.4971,0.3492299999999999,0.3794399999999999,0.39186,0.36759,0.36546,0.373255,0.3761299999999999
35,0.3446,0.485396,0.4962,0.385844,0.403784,0.453464,0.484956,0.4468,0.499092,0.5043759999999999,0.5047,0.5054919999999999,0.4564,0.5025,0.4723,0.5022,0.4916,0.499392,0.4981919999999999,0.452356,0.503612,0.506956,0.508,0.5071,0.458856,0.505512,0.474456,0.505092,0.492424,0.503956,0.500212,0.4551,0.5081,0.506556,0.509,0.5084,0.463056,0.5091559999999999,0.476512,0.508956,0.4941,0.5086,0.4995,0.354116,0.3886359999999998,0.3993279999999999,0.374616,0.3711,0.376644,0.380604
36,0.351248,0.493432,0.4992,0.390744,0.411778,0.465558,0.4949,0.450392,0.5011639999999999,0.507128,0.507492,0.506664,0.4605,0.5044,0.4754,0.503528,0.4938,0.5012,0.500764,0.455281,0.505227,0.5094,0.510154,0.5097,0.464016,0.508527,0.4779,0.507327,0.4966,0.505227,0.5019,0.458381,0.5101,0.5102,0.511327,0.511527,0.467827,0.511654,0.480227,0.511754,0.497327,0.510727,0.502262,0.360048,0.3994109999999999,0.403468,0.3771,0.377363,0.381838,0.385246
37,0.354528,0.497868,0.50088,0.3943759999999999,0.419448,0.472148,0.498596,0.454736,0.502936,0.509336,0.509136,0.5079,0.464136,0.506572,0.4779359999999999,0.505308,0.496936,0.502936,0.5023,0.4587,0.5067,0.511096,0.512298,0.511096,0.467298,0.5107,0.480794,0.5102,0.499098,0.5067980000000001,0.5041,0.462192,0.511494,0.5124,0.5131,0.514096,0.4705,0.5142,0.482796,0.5148980000000001,0.500198,0.5117980000000001,0.5057900000000001,0.367128,0.40533,0.408232,0.381452,0.384034,0.38521,0.3931199999999999
38,0.3628679999999999,0.500304,0.5033,0.39969,0.423922,0.483326,0.502923,0.459424,0.504108,0.511016,0.511108,0.509808,0.468056,0.5084,0.481308,0.5068,0.498908,0.5039,0.504008,0.463276,0.508369,0.512969,0.5136,0.513438,0.4704689999999999,0.512807,0.4840689999999999,0.511969,0.501738,0.5088,0.506469,0.466338,0.513469,0.515069,0.515338,0.515776,0.473869,0.516669,0.486238,0.5166,0.502738,0.5139,0.508307,0.371156,0.4101,0.417072,0.3852779999999999,0.389822,0.391262,0.4017
39,0.36822,0.50358,0.5054,0.40328,0.43118,0.48934,0.507,0.46334,0.50526,0.5124799999999999,0.5126,0.5114,0.4717,0.5103,0.4836,0.50818,0.50078,0.5053799999999999,0.5061,0.46694,0.51108,0.51464,0.5152,0.5156,0.4742,0.5149400000000001,0.48594,0.5137400000000001,0.5042,0.51108,0.5083799999999999,0.46934,0.51502,0.5169400000000001,0.51688,0.51764,0.47654,0.5178400000000001,0.48862,0.5186,0.50598,0.51544,0.51068,0.3737,0.41376,0.4221,0.39012,0.39526,0.39672,0.4071
40,0.3738559999999999,0.507176,0.5075,0.413846,0.4358259999999999,0.4940919999999999,0.511733,0.4676079999999999,0.5063519999999999,0.513952,0.513652,0.513404,0.475552,0.5113,0.486504,0.5094,0.502952,0.5066,0.5075,0.469811,0.512122,0.516311,0.516711,0.5171,0.4784549999999999,0.5163,0.4891109999999999,0.5156109999999999,0.505744,0.5124,0.5105219999999999,0.4721329999999999,0.516911,0.5186,0.5186219999999999,0.5199,0.4808219999999999,0.520811,0.491011,0.520111,0.5087,0.517311,0.512722,0.379,0.419268,0.425768,0.393646,0.3989,0.402178,0.410778
41,0.379584,0.5088360000000001,0.5087,0.4215359999999999,0.443616,0.497776,0.5152,0.470024,0.5072,0.515424,0.515,0.515124,0.478924,0.512524,0.488924,0.5106480000000001,0.5053,0.5072,0.509572,0.4734,0.5138820000000001,0.5184639999999999,0.518164,0.519082,0.4818639999999999,0.518382,0.491882,0.5178,0.5095,0.5139,0.512846,0.4749639999999999,0.518846,0.5202,0.5209820000000001,0.521746,0.4835819999999999,0.5224,0.494446,0.522446,0.511564,0.5189,0.5145,0.384468,0.423962,0.4277,0.397568,0.4017159999999999,0.4075,0.416672
42,0.3849,0.511,0.5104,0.426686,0.451742,0.501154,0.519102,0.473288,0.508792,0.517388,0.516496,0.516496,0.482196,0.5145,0.491592,0.512,0.50898,0.509088,0.511696,0.477053,0.5158,0.5205,0.519953,0.5204529999999999,0.485353,0.5196,0.4951529999999999,0.519,0.5125529999999999,0.515853,0.5144,0.478553,0.520953,0.521459,0.523053,0.5235529999999999,0.487,0.5236,0.496753,0.523853,0.5141,0.521159,0.516253,0.389858,0.4275,0.43,0.4016,0.405114,0.413594,0.419888
43,0.391688,0.5135679999999999,0.51208,0.433476,0.458812,0.505,0.521408,0.477804,0.510668,0.519168,0.5185,0.5177,0.4841,0.5155679999999999,0.494836,0.513668,0.512036,0.510668,0.5131,0.481372,0.5173,0.522324,0.522324,0.5221,0.487772,0.521,0.497524,0.5199,0.5139480000000001,0.517548,0.5158240000000001,0.481924,0.5227240000000001,0.5249,0.5251,0.525748,0.489324,0.5256,0.500048,0.525024,0.515524,0.5227240000000001,0.5183,0.394964,0.430056,0.432104,0.4063879999999999,0.4095,0.417956,0.423556
44,0.3958699999999999,0.5199400000000001,0.5162,0.4384699999999999,0.46481,0.50912,0.524165,0.48184,0.5123,0.5210400000000001,0.52034,0.5199,0.48718,0.5174,0.4976399999999999,0.51534,0.5149400000000001,0.5123,0.5159400000000001,0.4849,0.5189900000000001,0.524295,0.524,0.523795,0.490685,0.5225,0.500275,0.521195,0.5154,0.519,0.5181,0.484995,0.524395,0.52669,0.526995,0.5280900000000001,0.4916,0.5275,0.502785,0.5262,0.5176,0.524395,0.521,0.39947,0.4323,0.43342,0.4094799999999999,0.41313,0.4233,0.42915
45,0.3993919999999999,0.5253559999999999,0.5198,0.4425,0.472008,0.5143639999999999,0.527822,0.4842,0.5139,0.522512,0.522012,0.521336,0.489412,0.5187,0.500424,0.5171,0.516812,0.5139,0.518112,0.487666,0.521166,0.526366,0.525632,0.525598,0.493466,0.524266,0.502466,0.522466,0.517798,0.521166,0.520764,0.4884,0.5257,0.528066,0.529232,0.5298660000000001,0.494666,0.5287660000000001,0.505266,0.528298,0.519866,0.5257,0.5228,0.403776,0.435804,0.435336,0.413376,0.418716,0.426136,0.433068
46,0.404894,0.527492,0.5234,0.448,0.47633,0.5199,0.532353,0.487284,0.5149,0.525052,0.524184,0.524268,0.491784,0.520884,0.502868,0.5185,0.5186,0.5149,0.520268,0.490511,0.5226,0.5278,0.528037,0.528011,0.4956739999999999,0.5261,0.505537,0.5242,0.5195,0.5226,0.522737,0.490437,0.5275,0.5296,0.5315,0.5324369999999999,0.4974,0.5311,0.5074,0.5302,0.521837,0.5276,0.5249,0.409082,0.4395,0.437108,0.417,0.4223,0.430513,0.435452
47,0.412892,0.5294,0.52894,0.4541559999999999,0.4828199999999999,0.526408,0.5375,0.490256,0.5168,0.526956,0.526856,0.527168,0.496656,0.523912,0.505856,0.5205,0.520956,0.516856,0.521856,0.493708,0.524408,0.529308,0.530324,0.530308,0.4986159999999999,0.528108,0.508908,0.526008,0.522008,0.5245,0.5244,0.493108,0.529108,0.5312319999999999,0.533316,0.533908,0.501108,0.533108,0.5105,0.5328080000000001,0.5237080000000001,0.5292,0.5268,0.4151679999999999,0.4422,0.4405,0.420396,0.4257,0.434492,0.4391
48,0.419896,0.5322,0.5352100000000001,0.461898,0.4875,0.5335219999999999,0.540186,0.492628,0.518156,0.529,0.5304,0.529184,0.500428,0.526756,0.510884,0.5233,0.5229280000000001,0.5186,0.524328,0.4963,0.5254789999999999,0.531,0.5323,0.5324789999999999,0.5010789999999999,0.5297,0.5114789999999999,0.5285,0.5243789999999999,0.5254789999999999,0.5264789999999999,0.4961,0.531958,0.5334789999999999,0.535079,0.535979,0.503879,0.535558,0.5138,0.535258,0.5262789999999999,0.531958,0.5285789999999999,0.420498,0.444513,0.444084,0.4225859999999999,0.4292,0.439126,0.4412
