percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
47,0.5402,0.737184,0.7309,0.723492,0.5870839999999999,0.6108359999999998,0.6688,0.706284,0.737,0.6815,0.72676,0.72032,0.71658,0.737,0.7040599999999999,0.73452,0.69692,0.72856,0.6818,0.7300599999999999,0.5822,0.672068,0.682392,0.7010599999999999,0.614892,0.634668,0.6434,0.653792
48,0.5462130000000001,0.746271,0.7352550000000001,0.7279,0.5936710000000001,0.623542,0.6772710000000001,0.7169,0.741765,0.6871,0.732575,0.72531,0.7205550000000001,0.741955,0.7103,0.7399,0.7009,0.73671,0.68731,0.7366,0.590742,0.6779550000000001,0.688855,0.706771,0.6218,0.6417,0.646513,0.662471
49,0.5546,0.75015,0.7417,0.7313000000000001,0.60175,0.63015,0.683,0.7222500000000001,0.74575,0.6909000000000001,0.7381,0.73095,0.72575,0.7457,0.71425,0.7443500000000001,0.7047,0.74035,0.6921,0.7406,0.59995,0.68225,0.69615,0.7132,0.629,0.6485,0.65155,0.6682
50,0.560987,0.757258,0.7461289999999999,0.7381,0.6100289999999999,0.6409,0.6888,0.7289869999999999,0.751145,0.695145,0.7411449999999999,0.7369,0.7316900000000001,0.75056,0.7172,0.7482050000000001,0.71068,0.744945,0.696745,0.7457,0.608729,0.686858,0.7010289999999999,0.720429,0.636829,0.6556289999999999,0.655829,0.673758
51,0.567424,0.761316,0.750516,0.742,0.615108,0.6497400000000001,0.6948,0.736108,0.7558400000000001,0.6996600000000002,0.7448400000000001,0.74132,0.73692,0.7556,0.72124,0.75336,0.71368,0.7488,0.70174,0.7500600000000001,0.615432,0.698816,0.708108,0.728408,0.649024,0.660516,0.6630240000000001,0.681624
52,0.575861,0.766574,0.754587,0.7491920000000002,0.623461,0.6572,0.7000869999999999,0.744109,0.760735,0.70837,0.7494,0.745375,0.7412,0.760735,0.7267,0.75957,0.716105,0.7545850000000002,0.708675,0.754435,0.624987,0.7027,0.721135,0.732787,0.6561,0.6665,0.6716869999999999,0.6872
53,0.5831660000000001,0.7699980000000001,0.7577320000000001,0.7548640000000001,0.631966,0.6634300000000001,0.7042660000000001,0.7582920000000001,0.76546,0.71223,0.7536,0.75058,0.745,0.76546,0.733,0.7651,0.7199,0.76246,0.7134,0.7609100000000002,0.63343,0.707766,0.7356320000000001,0.738766,0.662766,0.672798,0.678332,0.691566
54,0.593245,0.7731,0.7616,0.7599,0.6399250000000001,0.6722,0.7089449999999999,0.7698900000000001,0.774125,0.71585,0.7622,0.7547250000000001,0.7511,0.77365,0.7379,0.7703,0.7267,0.768575,0.7169749999999999,0.767075,0.6417900000000001,0.7154,0.74149,0.7427900000000001,0.6707,0.681145,0.6851,0.6952
55,0.6034240000000001,0.775324,0.765448,0.767148,0.6501680000000002,0.6811480000000001,0.7181,0.7788240000000001,0.77972,0.7209800000000001,0.76634,0.7598,0.75488,0.7808400000000001,0.741,0.77988,0.73388,0.7749600000000001,0.7226,0.7730400000000001,0.6496,0.7306480000000001,0.7477440000000002,0.7465240000000001,0.676,0.6897,0.690648,0.7021
56,0.612206,0.7833,0.7697,0.7784330000000002,0.6572150000000001,0.6879029999999999,0.7254120000000002,0.788715,0.784615,0.7267,0.772015,0.76623,0.76083,0.7882200000000001,0.7465,0.785375,0.7384149999999999,0.7842600000000001,0.7284450000000001,0.7798750000000001,0.6570090000000001,0.740803,0.753803,0.7514029999999999,0.6849360000000002,0.6956060000000001,0.696806,0.7122120000000002
