percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
66,0.339767,0.402867,0.396267,0.3946,0.362901,0.367834,0.380801,0.4082,0.540716,0.5264,0.528532,0.5288160000000001,0.5285,0.5393800000000001,0.5264,0.539,0.5264,0.5348320000000001,0.5264,0.5320320000000001,0.5417,0.525214,0.526428,0.526114,0.525314,0.5415,0.525214,0.5415,0.525214,0.539242,0.525214,0.5329,0.3762,0.3904,0.393501,0.392567,0.385401,0.3846,0.3833,0.3848
67,0.3453,0.4065,0.3987,0.3968,0.3686040000000001,0.372568,0.3836,0.413268,0.5456639999999999,0.5296639999999999,0.5325639999999999,0.532764,0.531128,0.545092,0.5296639999999999,0.5437639999999999,0.5296639999999999,0.539,0.5296639999999999,0.535628,0.5441,0.528656,0.5296,0.5287,0.528556,0.543968,0.528656,0.5441,0.528656,0.542556,0.528656,0.536656,0.3823720000000001,0.393636,0.396868,0.394968,0.389568,0.3888,0.386736,0.388568
68,0.3517519999999997,0.4092689999999999,0.4012689999999999,0.4025689999999999,0.3749,0.3796379999999999,0.3862689999999999,0.4210689999999999,0.548324,0.532524,0.536212,0.5358839999999999,0.535,0.5482,0.532524,0.5482,0.532524,0.5441959999999999,0.532524,0.5395359999999999,0.547,0.5321,0.532198,0.5322979999999999,0.531798,0.5463,0.5321,0.5467939999999999,0.5321,0.5454899999999999,0.5321,0.5391,0.3885,0.3978,0.4008689999999999,0.3973,0.3934379999999999,0.3916689999999999,0.3919689999999999,0.3931689999999999
69,0.3581,0.4136,0.4060799999999999,0.4113,0.38077,0.3869399999999999,0.3943899999999998,0.4256399999999999,0.5516599999999999,0.53574,0.5400999999999999,0.5394,0.53832,0.5515599999999999,0.53574,0.55132,0.53574,0.5478,0.53574,0.5445,0.5498,0.5363,0.5359799999999999,0.5353399999999999,0.53538,0.5494,0.5363,0.54968,0.5363,0.5481,0.5363,0.5425,0.3941699999999999,0.40297,0.4031,0.4004,0.3971099999999999,0.3954,0.39751,0.3961699999999999
70,0.363813,0.4159,0.4099,0.418742,0.385042,0.393971,0.402,0.431597,0.5563,0.539808,0.543516,0.543216,0.541516,0.5563,0.539808,0.556116,0.539808,0.551708,0.539808,0.547616,0.552792,0.538782,0.539182,0.5384,0.5384,0.5522279999999999,0.538782,0.552846,0.538782,0.550882,0.538782,0.5447639999999999,0.3996,0.4089129999999999,0.4064709999999999,0.403171,0.400942,0.4001,0.404071,0.4011
71,0.3705439999999999,0.4193719999999999,0.4143,0.4274599999999999,0.390472,0.3996,0.4113,0.4354,0.5606559999999999,0.543012,0.5474559999999999,0.546056,0.545256,0.560512,0.543012,0.559956,0.543012,0.5563,0.543012,0.5506679999999999,0.557448,0.541748,0.5428,0.5409,0.540444,0.556948,0.541748,0.557324,0.541748,0.5551240000000001,0.541748,0.5480200000000001,0.4043719999999999,0.413172,0.4118719999999999,0.4080599999999999,0.405672,0.404472,0.4077439999999999,0.407172
72,0.3791,0.4219,0.424246,0.438373,0.397265,0.4061,0.419046,0.437373,0.5637,0.546104,0.551704,0.549704,0.547604,0.5637,0.546104,0.5634,0.546104,0.5600040000000001,0.546104,0.555324,0.5608639999999999,0.5441,0.546,0.5441,0.5437319999999999,0.559364,0.5441,0.5601619999999999,0.5441,0.5588,0.5441,0.5508,0.4099,0.417346,0.413973,0.414173,0.409373,0.4084,0.4104,0.414246
73,0.3859479999999999,0.4251479999999999,0.4326579999999996,0.4455,0.4047,0.4157659999999998,0.4292219999999999,0.439,0.567808,0.5484,0.557304,0.5530039999999999,0.551408,0.567552,0.5484,0.566956,0.5484,0.5637519999999999,0.5484,0.560152,0.565524,0.5479,0.549116,0.547716,0.547716,0.5646479999999999,0.5479,0.564324,0.5479,0.5631,0.5479,0.5550160000000001,0.4167659999999998,0.4244739999999999,0.4162,0.4193479999999999,0.415774,0.4128739999999999,0.4137,0.4207439999999999
74,0.3931,0.427,0.441925,0.4503,0.4104,0.42325,0.4397,0.442075,0.5734,0.5544,0.5613,0.5575,0.5567,0.5733,0.5544,0.5716,0.5544,0.5679,0.5544,0.5647,0.56855,0.55095,0.5526500000000001,0.55075,0.5507,0.56835,0.55095,0.5680499999999999,0.55095,0.5661,0.55095,0.5575,0.42415,0.43265,0.42105,0.425575,0.422275,0.419025,0.418275,0.426025
75,0.4033280000000001,0.432076,0.453,0.4559,0.4193800000000001,0.4314,0.4513320000000002,0.4469,0.578748,0.557696,0.566036,0.561948,0.560948,0.578748,0.557696,0.5766,0.557696,0.5733480000000001,0.557696,0.5693,0.572892,0.553692,0.556768,0.553492,0.553184,0.572784,0.553692,0.572484,0.553692,0.5701,0.553692,0.561892,0.428976,0.436876,0.428376,0.4291,0.428876,0.426952,0.423076,0.433404
76,0.4125,0.440362,0.462577,0.458177,0.425777,0.4377,0.463131,0.4533,0.585196,0.562296,0.5695,0.567296,0.566284,0.585296,0.562296,0.582696,0.562296,0.576892,0.562296,0.5735,0.579068,0.557702,0.560768,0.557534,0.557668,0.5785040000000001,0.557702,0.577134,0.557702,0.5734,0.557702,0.5649360000000001,0.434077,0.4396,0.4345,0.432077,0.435177,0.432754,0.427777,0.437977
77,0.4213380000000004,0.454178,0.467078,0.461556,0.4345,0.448656,0.471378,0.456356,0.5917520000000001,0.567932,0.573844,0.5711440000000001,0.5702,0.59162,0.567932,0.589088,0.567932,0.581588,0.567932,0.579032,0.582432,0.5612,0.563276,0.5617559999999999,0.560976,0.581252,0.5612,0.580476,0.5612,0.577,0.5612,0.5678519999999999,0.4403120000000001,0.4433,0.4387,0.4402120000000001,0.441278,0.4393460000000001,0.433034,0.4458900000000001
78,0.433779,0.466937,0.473995,0.467679,0.442258,0.458358,0.4798,0.4595579999999999,0.596792,0.571992,0.5790839999999999,0.5749,0.573492,0.5966680000000001,0.571992,0.5955680000000001,0.571992,0.5884520000000001,0.571992,0.5833440000000001,0.587518,0.5653360000000001,0.5676,0.565036,0.5646,0.587418,0.5653360000000001,0.5857720000000001,0.5653360000000001,0.580072,0.5653360000000001,0.5708,0.450158,0.446979,0.447279,0.448579,0.4459579999999999,0.449816,0.441953,0.453637
79,0.44316,0.47998,0.47838,0.47156,0.4530800000000001,0.4703600000000001,0.4884800000000001,0.4645,0.6033,0.5762400000000001,0.5844400000000001,0.5789799999999999,0.57774,0.60204,0.5762400000000001,0.60194,0.5762400000000001,0.5956400000000001,0.5762400000000001,0.58816,0.59116,0.5701,0.5704600000000001,0.5687800000000001,0.56852,0.59106,0.5701,0.5905600000000001,0.5701,0.5843600000000001,0.5701,0.57518,0.4569800000000001,0.4511,0.45266,0.45336,0.4534,0.4584,0.45328,0.45774
80,0.4510100000000004,0.4873240000000001,0.4847430000000001,0.4817670000000003,0.466281,0.4805860000000002,0.497562,0.4805620000000001,0.608988,0.5804640000000001,0.5881,0.5849,0.5817640000000001,0.6086640000000001,0.5804640000000001,0.606788,0.5804640000000001,0.602,0.5804640000000001,0.595576,0.594804,0.5726060000000001,0.5753020000000001,0.5725020000000001,0.5715080000000001,0.594804,0.5726060000000001,0.593804,0.5726060000000001,0.589202,0.5726060000000001,0.5794,0.4637,0.4575,0.4607,0.4611,0.4606,0.4689430000000001,0.4648430000000001,0.463
81,0.4606459999999999,0.5001,0.4900819999999999,0.4921459999999999,0.4756639999999999,0.4956279999999998,0.506682,0.4859,0.6143799999999999,0.5841,0.59578,0.589908,0.586636,0.613544,0.5841,0.612,0.5841,0.607836,0.5841,0.6009439999999999,0.6007519999999998,0.576388,0.579588,0.576144,0.5764319999999999,0.6001199999999999,0.576388,0.5971879999999999,0.576388,0.5918,0.576388,0.583132,0.475182,0.4613,0.4672459999999999,0.4672639999999999,0.4677919999999998,0.4786639999999999,0.4794819999999999,0.4683819999999999
82,0.468283,0.506049,0.5061829999999999,0.501066,0.4880489999999999,0.5113809999999999,0.513683,0.5007809999999999,0.6203679999999999,0.589684,0.6011199999999999,0.596268,0.591768,0.620084,0.589684,0.619084,0.589684,0.612,0.589684,0.605468,0.6075860000000001,0.5810879999999999,0.583758,0.5804,0.579786,0.607772,0.5810879999999999,0.604286,0.5810879999999999,0.5951,0.5810879999999999,0.5889,0.4844,0.4649,0.474783,0.4727659999999999,0.479283,0.4850659999999999,0.4933959999999999,0.473166
83,0.4813,0.510784,0.5096,0.509284,0.500184,0.523768,0.519284,0.513984,0.6275759999999999,0.596,0.603696,0.600632,0.597396,0.626728,0.596,0.625,0.596,0.61886,0.596,0.609324,0.6123,0.586436,0.5892839999999999,0.5836,0.584728,0.6123,0.586436,0.6102839999999999,0.586436,0.6012,0.586436,0.592028,0.4926679999999999,0.4713519999999999,0.479884,0.4799519999999999,0.489884,0.4944,0.5014679999999999,0.478
84,0.488985,0.516185,0.51447,0.5139,0.5174899999999999,0.5433799999999999,0.524855,0.5286099999999999,0.636,0.60086,0.6086,0.6036,0.6012799999999999,0.6353599999999999,0.60086,0.63418,0.60086,0.62488,0.60086,0.61508,0.61814,0.59217,0.59307,0.58947,0.59094,0.61788,0.59217,0.61477,0.59217,0.6062200000000001,0.59217,0.5951,0.499385,0.478555,0.4844,0.483385,0.5042399999999999,0.5053649999999998,0.5094,0.4821
85,0.5018880000000001,0.5261720000000001,0.523572,0.5201720000000001,0.536572,0.5562460000000001,0.5431,0.5360860000000001,0.641396,0.6049559999999999,0.612956,0.607556,0.604584,0.641396,0.6049559999999999,0.6412,0.6049559999999999,0.634028,0.6049559999999999,0.6207,0.623312,0.597548,0.598,0.5947,0.5947359999999999,0.6228,0.597548,0.6194359999999999,0.597548,0.6113719999999999,0.597548,0.6029479999999999,0.5059720000000001,0.4893880000000001,0.490272,0.488986,0.516458,0.515,0.516472,0.4887
86,0.519635,0.532574,0.5314479999999999,0.5366869999999999,0.5594919999999998,0.5714,0.5573,0.542835,0.651152,0.6091,0.618004,0.6138359999999999,0.608476,0.649508,0.6091,0.646664,0.6091,0.641732,0.6091,0.628632,0.627654,0.602708,0.603416,0.599708,0.60047,0.6269779999999999,0.602708,0.624116,0.602708,0.617708,0.602708,0.6093,0.5185609999999999,0.4978,0.4928,0.496287,0.5315699999999999,0.529187,0.524474,0.4984479999999999
87,0.5389960000000001,0.546288,0.5477759999999999,0.5691,0.583752,0.592388,0.5830680000000001,0.554476,0.661272,0.6151,0.624196,0.6205480000000001,0.6147480000000001,0.661272,0.6151,0.659196,0.6151,0.649972,0.6151,0.6365959999999999,0.6363,0.6091759999999999,0.6093,0.608996,0.606692,0.636292,0.6091759999999999,0.630872,0.6091759999999999,0.623192,0.6091759999999999,0.613784,0.5315,0.503264,0.495652,0.502176,0.5437759999999999,0.5464080000000001,0.5341040000000001,0.514528
88,0.559489,0.5546,0.5536119999999999,0.5778559999999999,0.607989,0.6108119999999999,0.6031359999999998,0.5652339999999999,0.668304,0.622492,0.631,0.6255160000000001,0.620716,0.667744,0.622492,0.667516,0.622492,0.656216,0.622492,0.641788,0.645238,0.612376,0.61359,0.6122,0.610638,0.645238,0.612376,0.6404420000000001,0.612376,0.63029,0.612376,0.620514,0.541589,0.5078779999999999,0.501789,0.508389,0.5529890000000001,0.5605,0.5415,0.524623
89,0.5808,0.5922900000000001,0.60222,0.6094,0.6314,0.6259,0.615,0.5721900000000001,0.6801600000000001,0.6275,0.63836,0.6307200000000001,0.6259600000000001,0.67934,0.6275,0.6785000000000001,0.6275,0.66392,0.6275,0.6511800000000001,0.65176,0.6186,0.6203399999999999,0.61656,0.6156,0.65176,0.6186,0.65032,0.6186,0.6369,0.6186,0.62512,0.5550400000000001,0.5203000000000001,0.5169,0.5219600000000001,0.56476,0.57525,0.54948,0.53428
90,0.608282,0.6015740000000004,0.6145730000000001,0.6559910000000001,0.6555730000000001,0.6379830000000004,0.6219730000000001,0.5855190000000002,0.6869400000000001,0.6345400000000001,0.646904,0.64028,0.634668,0.68638,0.6345400000000001,0.685068,0.6345400000000001,0.6712,0.6345400000000001,0.658572,0.660088,0.624944,0.624822,0.621988,0.621432,0.659722,0.624944,0.6590100000000001,0.624944,0.643486,0.624944,0.633066,0.572982,0.5355380000000005,0.5268,0.536682,0.5812,0.5827,0.5567,0.5422910000000001
91,0.6328,0.6450600000000001,0.6779600000000001,0.6760200000000001,0.676376,0.6511440000000001,0.6314,0.6213640000000001,0.7012480000000001,0.6406800000000001,0.6552120000000002,0.646132,0.6412,0.7010800000000001,0.6406800000000001,0.6977760000000003,0.6406800000000001,0.6815,0.6406800000000001,0.6661440000000003,0.6688400000000001,0.632784,0.6326400000000001,0.6282639999999999,0.6265760000000001,0.667364,0.632784,0.6670480000000001,0.632784,0.6524639999999999,0.632784,0.638356,0.588936,0.551652,0.5546320000000001,0.540076,0.596392,0.5923,0.562576,0.559744
92,0.6759860000000001,0.6768,0.6944580000000001,0.6849,0.7114020000000004,0.6677810000000005,0.6469160000000004,0.6520090000000004,0.7119400000000004,0.6524920000000001,0.6649920000000001,0.6542680000000003,0.6529920000000001,0.7119400000000004,0.6524920000000001,0.7085560000000002,0.6524920000000001,0.6915800000000006,0.6524920000000001,0.6813560000000002,0.680924,0.638512,0.639406,0.6355,0.634412,0.680412,0.638512,0.678712,0.638512,0.6599060000000001,0.638512,0.6452060000000001,0.6162300000000003,0.5644720000000001,0.565593,0.5486880000000004,0.614793,0.6045230000000004,0.5722790000000001,0.572986
93,0.7293159999999995,0.7345699999999998,0.721394,0.7098639999999997,0.744694,0.7038639999999997,0.6612939999999999,0.6797,0.7259639999999997,0.668812,0.680724,0.6697719999999999,0.663412,0.7269319999999999,0.668812,0.7228359999999999,0.668812,0.7044079999999999,0.668812,0.693812,0.7024679999999996,0.646748,0.6472479999999999,0.6421479999999999,0.6418,0.7014919999999999,0.646748,0.695048,0.646748,0.6687839999999998,0.646748,0.6552879999999999,0.6491879999999999,0.5932759999999999,0.5746819999999999,0.6003679999999971,0.6359039999999994,0.6245879999999999,0.5858939999999999,0.5841339999999996
