percentiles,hv10,hv120,hv150,hv20,hv30,hv60,hv90,phv10,phv120,phv150,phv20,phv30,phv60,phv90
85,1.0039199999999997,0.9696000000000002,0.996186,0.99098,1.01578,0.97124,0.94258,0.90536,0.946708,0.911696,0.90358,0.8953199999999999,0.9171399999999998,0.9659799999999992
86,1.03622,0.983054,1.0183,1.0367799999999998,1.0288,0.99248,0.97288,0.93468,0.9628,0.924764,0.9165,0.91346,0.95622,0.98284
87,1.07406,1.0208480000000002,1.038688,1.05876,1.05432,1.0084,1.00584,0.9641,0.97276,0.93992,0.93828,0.94168,0.98834,1.00242
88,1.11448,1.0499679999999998,1.0714,1.08202,1.0883400000000003,1.0313200000000002,1.0582600000000002,0.9947200000000004,0.985039,0.953306,0.9746000000000008,0.96976,1.0196200000000002,1.0178600000000002
89,1.1365,1.1276,1.10003,1.1284,1.1222,1.1038,1.0839,1.025,0.9942800000000004,0.96848,1.0044,0.9945,1.0709,1.0361
90,1.1655200000000003,1.159248,1.108858,1.1677400000000002,1.1728,1.13634,1.1073000000000002,1.05912,1.018449,1.0125580000000003,1.04054,1.07578,1.0992,1.04672
91,1.22994,1.185588,1.1250760000000002,1.2309800000000006,1.2178600000000015,1.1901800000000011,1.1582600000000003,1.12702,1.031632,1.0516400000000004,1.0984200000000002,1.1158000000000008,1.1195,1.05278
92,1.28198,1.1952360000000002,1.136548,1.29688,1.28666,1.2306800000000002,1.24334,1.1713000000000002,1.053054,1.075718,1.16822,1.1963400000000004,1.13662,1.0671
93,1.3661,1.200572,1.143096,1.3613799999999998,1.32826,1.27724,1.28276,1.2648799999999991,1.1159759999999994,1.09166,1.2740999999999982,1.25714,1.1436,1.08696
94,1.4429,1.21082,1.16843,1.4304,1.4037,1.3384,1.2979,1.3469,1.14032,1.1156099999999998,1.3747,1.2974,1.1731,1.165
95,1.5299199999999982,1.242064,1.223256,1.550979999999999,1.4477799999999987,1.4045199999999969,1.3183599999999998,1.4714399999999994,1.1657359999999997,1.1466,1.4457399999999994,1.38574,1.24954,1.2049399999999997
96,1.7163599999999992,1.3028579999999998,1.2616,1.5935,1.48036,1.4634999999999998,1.33974,1.5768799999999998,1.2054,1.155092,1.56242,1.4500199999999992,1.30116,1.24648
97,1.8552200000000003,1.535536,1.4662359999999983,1.65712,1.57536,1.6455800000000127,1.73134,1.7069200000000004,1.578654,1.4650719999999997,1.63364,1.6689000000000012,1.862580000000004,1.79772
98,2.011159999999998,1.6457839999999997,1.493666,1.77544,2.1845999999999597,2.0438799999999997,1.8309199999999997,1.9055799999999992,1.7921789999999995,1.622492,1.8260799999999977,2.243559999999954,2.2357799999999997,2.0369199999999994
