percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
44,0.58623,0.6993600000000001,0.7003600000000001,0.69563,0.64143,0.65776,0.67127,0.6885800000000001,0.68203,0.66364,0.66211,0.66162,0.66425,0.68144,0.66364,0.68032,0.66364,0.67543,0.66364,0.66713,0.7502,0.7223100000000001,0.733,0.728215,0.7257,0.7502,0.7223100000000001,0.749905,0.7223100000000001,0.745805,0.7223100000000001,0.7386,0.6185,0.6861,0.69163,0.6851,0.64463,0.65073,0.68047,0.6882
45,0.595592,0.7079,0.705188,0.702608,0.649092,0.663964,0.6772,0.694212,0.686536,0.6675679999999999,0.665368,0.666168,0.667468,0.686368,0.6675679999999999,0.686268,0.6675679999999999,0.678968,0.6675679999999999,0.670704,0.7535540000000001,0.7249,0.735962,0.731616,0.7293620000000001,0.7535540000000001,0.7249,0.752362,0.7249,0.749816,0.7249,0.743608,0.6253559999999999,0.6911440000000001,0.6941,0.690088,0.6506639999999999,0.657,0.6879959999999999,0.693204
46,0.6063,0.714216,0.7096,0.713316,0.657092,0.6691980000000001,0.683344,0.699028,0.6925,0.671626,0.669878,0.671178,0.672126,0.6925,0.671626,0.6925,0.671626,0.6845519999999999,0.671626,0.6761,0.7576120000000001,0.7285090000000001,0.7397090000000001,0.734803,0.732506,0.7576120000000001,0.7285090000000001,0.7565029999999999,0.7285090000000001,0.7528090000000001,0.7285090000000001,0.746903,0.632494,0.699058,0.6972160000000001,0.6955,0.6580980000000001,0.6628980000000001,0.6959219999999999,0.6968279999999999
47,0.6153,0.720344,0.7173,0.7222,0.6632,0.6753319999999999,0.6911480000000001,0.7057,0.697168,0.675168,0.673236,0.674,0.675252,0.697168,0.675168,0.6975359999999999,0.675168,0.6905239999999999,0.675168,0.6795519999999999,0.76156,0.730856,0.742552,0.738656,0.735216,0.7612519999999999,0.730856,0.760652,0.730856,0.757052,0.730856,0.7502,0.640932,0.7060159999999999,0.701572,0.7011,0.6646,0.6706639999999999,0.702796,0.702104
48,0.622266,0.7287720000000001,0.7284,0.7295860000000001,0.6714979999999999,0.683,0.7012740000000001,0.7104,0.703384,0.679326,0.676952,0.67771,0.6796679999999999,0.703384,0.679326,0.702952,0.679326,0.694742,0.679326,0.685342,0.765301,0.7346,0.7459,0.7414019999999999,0.7385010000000001,0.765102,0.7346,0.7646019999999999,0.7346,0.760201,0.7346,0.752804,0.6508,0.710458,0.7057,0.707058,0.6725979999999999,0.681466,0.7107,0.7061
49,0.6301,0.7322,0.7344,0.7406,0.679,0.6909,0.7084,0.7175,0.7068,0.6841,0.6808,0.6817,0.6842,0.7068,0.6841,0.7067,0.6841,0.6994,0.6841,0.6911,0.7706,0.7379,0.7489,0.7444,0.74085,0.7704,0.7379,0.76865,0.7379,0.76305,0.7379,0.75645,0.6579,0.7151,0.7099,0.7215,0.6802,0.693,0.7174,0.7118
50,0.6388020000000001,0.7392279999999999,0.7471279999999999,0.747914,0.685634,0.6966,0.7152340000000001,0.728324,0.711274,0.6888,0.686,0.687158,0.688716,0.711274,0.6888,0.711016,0.6888,0.705674,0.6888,0.694516,0.774199,0.741591,0.7519,0.747398,0.7437,0.7738,0.741591,0.773297,0.741591,0.767892,0.741591,0.7602,0.665868,0.7206279999999999,0.7202979999999999,0.727814,0.6858,0.7002680000000001,0.723778,0.718224
51,0.6490360000000001,0.7475280000000001,0.754928,0.7541400000000001,0.6942,0.7032360000000001,0.722756,0.737048,0.7164480000000001,0.693516,0.692416,0.6902800000000001,0.692932,0.7164480000000001,0.693516,0.7163160000000001,0.693516,0.70918,0.693516,0.699316,0.7798480000000001,0.745248,0.755688,0.750248,0.746892,0.77908,0.745248,0.777496,0.745248,0.7718,0.745248,0.7635,0.6729040000000001,0.7265560000000001,0.727156,0.733356,0.6907,0.7089400000000001,0.7312,0.726096
52,0.656804,0.758126,0.761584,0.761,0.702904,0.709202,0.7272,0.745272,0.72067,0.6985,0.697418,0.695848,0.6983480000000001,0.72067,0.6985,0.7203,0.6985,0.7140660000000001,0.6985,0.705422,0.782391,0.749997,0.758297,0.753982,0.7528790000000001,0.7821,0.749997,0.7819940000000001,0.749997,0.7754,0.749997,0.766991,0.6807,0.735642,0.740542,0.740168,0.697302,0.716702,0.7395460000000001,0.7343440000000001
53,0.6647,0.765056,0.767712,0.767112,0.7112,0.716044,0.7372,0.757292,0.725232,0.7028240000000001,0.703096,0.701132,0.704732,0.725232,0.7028240000000001,0.7248600000000001,0.7028240000000001,0.718732,0.7028240000000001,0.708964,0.788146,0.7535,0.761846,0.756846,0.755338,0.7879,0.7535,0.786846,0.7535,0.779484,0.7535,0.771,0.6881360000000001,0.7440559999999999,0.749956,0.7484,0.7042,0.7251,0.747704,0.743496
