percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
39,0.156,0.1764,0.1758,0.1744,0.1646,0.1711,0.1754,0.1756,0.1842,0.18918,0.18558,0.18668,0.188,0.18408,0.18918,0.1827,0.18918,0.1832,0.18918,0.18418,0.0584,0.0785,0.0809,0.081,0.0662,0.0685,0.0732,0.075
40,0.157719,0.1770189999999999,0.1762,0.174819,0.1663,0.1725,0.1766,0.1762,0.185974,0.190287,0.186374,0.187587,0.188987,0.185,0.190287,0.1842,0.190287,0.183887,0.190287,0.185187,0.0596189999999999,0.0803,0.081519,0.0812,0.0671,0.069419,0.0743,0.0759
41,0.1593,0.1779,0.1767,0.175278,0.1678,0.1736,0.177878,0.1772,0.1870939999999999,0.191,0.187494,0.1887,0.189994,0.1864,0.191,0.1850939999999999,0.191,0.185,0.191,0.1865879999999999,0.0602,0.0814,0.082078,0.0816,0.0678,0.0701,0.0748,0.0766
42,0.1604,0.178737,0.177237,0.1756,0.169537,0.1745,0.179,0.178,0.1884,0.1919,0.188601,0.1897,0.1908,0.1875,0.1919,0.186401,0.1919,0.186,0.1919,0.1874,0.061,0.082,0.0826,0.0818,0.0686369999999999,0.070937,0.0752,0.0773
43,0.162188,0.1794,0.177896,0.1764,0.170996,0.1763,0.179996,0.1786,0.189308,0.1928,0.189408,0.1906,0.1914,0.1889,0.1928,0.187708,0.1928,0.187,0.1928,0.1881,0.0622,0.082796,0.0829,0.0823,0.069496,0.0716,0.0757,0.077996
44,0.1642,0.1799,0.1783,0.1769,0.1721,0.1779,0.1807,0.1794,0.1909,0.1938,0.1902,0.1914,0.1924149999999999,0.189715,0.1938,0.1886,0.1938,0.1881,0.1938,0.1891,0.0632,0.0837,0.0834,0.0825,0.070355,0.072555,0.075955,0.0789
45,0.1658,0.1802,0.1791,0.177814,0.173214,0.179328,0.181714,0.179914,0.192,0.195,0.1909219999999999,0.1922,0.1938,0.1914,0.195,0.189822,0.195,0.1895,0.195,0.190144,0.0645,0.0844,0.084,0.0828,0.070914,0.0738,0.076314,0.081614
46,0.167173,0.1807,0.1799,0.1788,0.1743,0.1805,0.1829,0.1807,0.1934,0.196029,0.1922,0.193729,0.195,0.1924,0.196029,0.191129,0.196029,0.1904,0.196029,0.191229,0.0656,0.084873,0.0844,0.0831,0.071573,0.0746,0.077073,0.083373
47,0.1697,0.1811,0.180632,0.179832,0.176232,0.1817,0.1839,0.1813,0.1951,0.197436,0.193836,0.195636,0.197,0.194236,0.197436,0.1924,0.197436,0.191636,0.197436,0.193,0.0673319999999999,0.0855,0.0847,0.0834,0.0727,0.0754,0.0776,0.0842
48,0.1711,0.1819,0.1816,0.181891,0.177391,0.183182,0.1846,0.182091,0.197043,0.1988,0.1956,0.196743,0.1978,0.195486,0.1988,0.1941,0.1988,0.192843,0.1988,0.1950289999999999,0.068591,0.0859,0.085091,0.0838,0.0738,0.0762,0.078191,0.0849
49,0.17275,0.18315,0.1829,0.18315,0.179,0.18535,0.1853,0.18305,0.1986,0.2,0.1971,0.19855,0.1988,0.197,0.2,0.1954,0.2,0.1952499999999999,0.2,0.19685,0.0694,0.0863,0.0856,0.0841,0.0749,0.07705,0.0795,0.086
50,0.1747179999999999,0.184,0.183609,0.1842089999999999,0.1805,0.1863,0.1861,0.1838089999999999,0.2003,0.2015,0.198957,0.199557,0.200357,0.198457,0.2015,0.197257,0.2015,0.196357,0.2015,0.197957,0.0707,0.086809,0.086309,0.0843,0.0759,0.0779,0.0802,0.0866
