percentiles,hv10,hv20,hv30,hv60,phv10,phv20,phv30,phv60,phv90
20,0.11393,0.1339,0.14363,0.1527,0.14243,0.15193,0.15493,0.1595,0.1619
21,0.11614,0.13646,0.1448,0.1542,0.1437,0.153,0.15616,0.1601179999999999,0.163178
22,0.11897,0.1381,0.1459,0.155614,0.14566,0.15409,0.1569,0.1612,0.164177
23,0.1212,0.1397199999999999,0.1473199999999999,0.1573,0.1469,0.15492,0.1575,0.1618,0.1648
24,0.1230499999999999,0.1415,0.149,0.1586,0.148,0.15595,0.15825,0.1631,0.1657
25,0.12428,0.1431,0.1503,0.159668,0.14908,0.1568,0.15898,0.164594,0.166774
26,0.1266,0.1449,0.1517,0.1605,0.1503,0.15822,0.16001,0.1655,0.1676
27,0.12874,0.14634,0.1531,0.1621,0.1513,0.15924,0.1608,0.1661,0.1685
28,0.1311,0.14737,0.1548,0.1631439999999999,0.1525,0.1603699999999999,0.1614,0.1666,0.1692
29,0.1324,0.1493,0.1559,0.16414,0.1538,0.1609,0.1625,0.16727,0.1698
30,0.13536,0.15153,0.1584,0.165858,0.1554,0.16173,0.16373,0.1683889999999999,0.170469
31,0.13766,0.15282,0.1599,0.167476,0.15646,0.1628,0.16516,0.1693,0.171468
32,0.1392,0.15439,0.1618,0.168894,0.1578,0.16379,0.1663,0.1706,0.1728
33,0.14134,0.15602,0.16334,0.1706,0.15892,0.1646,0.16772,0.1715,0.173632
34,0.14355,0.15745,0.1649499999999999,0.1718,0.1599499999999999,0.16575,0.1688,0.1722,0.1745
35,0.1459599999999999,0.15918,0.16626,0.173148,0.1618,0.16658,0.16968,0.1729839999999999,0.1754639999999999
36,0.1486,0.16081,0.16783,0.174566,0.1634199999999999,0.1674,0.17061,0.1738,0.1769
37,0.15084,0.1621,0.17,0.1759,0.1651,0.1684,0.17164,0.174722,0.177662
38,0.1532,0.16367,0.17171,0.1779,0.1661,0.1693,0.17301,0.1757,0.178361
39,0.1555,0.1657,0.1737,0.18104,0.1676,0.1704,0.1738,0.17696,0.1792
40,0.15723,0.1678,0.1751,0.183938,0.16863,0.1714,0.17463,0.178279,0.1801
41,0.15894,0.16986,0.17646,0.186556,0.1698,0.1721,0.1757,0.179,0.1814
42,0.1608899999999999,0.17109,0.1778,0.188948,0.1716,0.1734899999999999,0.17659,0.1800169999999999,0.182557
43,0.1634,0.1731,0.17932,0.19,0.1729,0.1746,0.1773,0.180808,0.184756
44,0.16505,0.175,0.1805,0.19131,0.174,0.1757,0.1783,0.181655,0.1864
45,0.1674,0.1767,0.18158,0.192428,0.175,0.17698,0.1792,0.1823,0.1874
46,0.1692099999999999,0.1785599999999999,0.1835,0.193546,0.176,0.1781,0.1805099999999999,0.1831,0.1881
47,0.17124,0.1815,0.1848,0.1945,0.1775,0.17918,0.18134,0.184612,0.188752
48,0.17447,0.1834,0.18617,0.1956,0.17917,0.18097,0.18247,0.1863619999999999,0.189851
49,0.1767,0.185,0.1878,0.1968,0.181,0.1818,0.1838,0.18855,0.1921
50,0.1792,0.18676,0.1893,0.198018,0.1825,0.183,0.18543,0.189669,0.1935
51,0.18136,0.18828,0.1914,0.1996,0.1841,0.1841,0.1868,0.191088,0.1963
52,0.18358,0.191,0.19387,0.2012,0.1853,0.18539,0.18816,0.192707,0.198347
53,0.1859,0.1928,0.19552,0.202072,0.1866,0.18704,0.1896,0.194626,0.199246
54,0.1893,0.19485,0.1968,0.20369,0.18805,0.18825,0.19155,0.195945,0.200245
55,0.1916,0.1981,0.1986,0.2046,0.18938,0.18976,0.19348,0.198264,0.2014
56,0.1935,0.20061,0.20012,0.205452,0.19173,0.1919,0.19511,0.200483,0.202043
57,0.1957799999999999,0.20304,0.2027399999999999,0.2065,0.1939399999999999,0.1936399999999999,0.1968,0.201802,0.2034839999999999
58,0.19755,0.20487,0.2054,0.2077,0.19644,0.1959,0.198,0.203321,0.2045409999999999
59,0.2004,0.2073,0.2089,0.20878,0.1978,0.1977,0.1993,0.2049,0.2067399999999999
60,0.20309,0.20913,0.21286,0.2101,0.19913,0.19973,0.2007,0.2070179999999999,0.2083
61,0.2060199999999999,0.2107,0.2162599999999999,0.212016,0.2025799999999999,0.2027799999999999,0.20146,0.209356,0.2097759999999999
62,0.20997,0.21259,0.22039,0.2142019999999999,0.2047,0.20598,0.20359,0.211194,0.2115
63,0.21302,0.21644,0.22272,0.216252,0.2064,0.20802,0.20652,0.212716,0.2124
64,0.21515,0.21845,0.2246,0.2179,0.2081,0.21075,0.2097,0.215,0.213335
65,0.2171,0.22068,0.22696,0.221276,0.2112599999999999,0.2144,0.21338,0.2166,0.214534
66,0.22081,0.22321,0.22981,0.222906,0.21435,0.21672,0.21571,0.219046,0.217632
67,0.22414,0.2257,0.233,0.225524,0.21684,0.2197,0.21844,0.223976,0.221532
68,0.2286699999999999,0.2292699999999999,0.2373,0.2298259999999999,0.2203399999999999,0.2239699999999999,0.2229099999999999,0.227211,0.224531
69,0.233,0.2327,0.2402,0.2338599999999999,0.2249,0.2267,0.226,0.2296,0.22735
70,0.23563,0.2389899999999999,0.24373,0.238256,0.2297,0.2304,0.2296,0.230898,0.231229
71,0.2389799999999999,0.24846,0.2464599999999999,0.2441,0.2328,0.2327399999999999,0.2343,0.2322679999999999,0.234856
72,0.2425,0.25289,0.24949,0.2488,0.23789,0.23629,0.2376899999999999,0.236087,0.2364
73,0.2471,0.25932,0.25394,0.258032,0.24148,0.2395,0.24494,0.240912,0.241526
74,0.2506,0.2644,0.25665,0.2634,0.2456499999999999,0.24265,0.2493,0.2459,0.2449
75,0.25692,0.2686,0.25938,0.266868,0.24934,0.2467599999999999,0.2528,0.250488,0.248548
76,0.26263,0.27425,0.26763,0.2701,0.25555,0.25265,0.25572,0.257389,0.253292
77,0.26756,0.27764,0.27148,0.274804,0.26028,0.2611,0.2627,0.2617920000000001,0.2574
78,0.27394,0.28301,0.27844,0.279622,0.26411,0.26843,0.26978,0.266001,0.259721
79,0.2787,0.2889,0.2828,0.28414,0.2716,0.2752,0.2742,0.27152,0.261
80,0.2878200000000001,0.29596,0.2915,0.290358,0.2782400000000001,0.2815800000000001,0.28136,0.275378,0.263338
81,0.2979799999999999,0.29946,0.29636,0.3017,0.28472,0.28756,0.28768,0.2835,0.2818
82,0.3089899999999998,0.3034,0.30569,0.3141759999999999,0.2888,0.2955,0.2969699999999999,0.294977,0.2881849999999999
83,0.31836,0.31028,0.31136,0.3207,0.29374,0.304,0.3066400000000001,0.3161920000000001,0.3077319999999999
84,0.32355,0.3188999999999999,0.3244,0.3315899999999999,0.3017,0.3111,0.31385,0.32093,0.31183
85,0.3349,0.33174,0.33136,0.347832,0.31016,0.31814,0.32008,0.323634,0.3173
86,0.34307,0.34001,0.3393899999999999,0.35553,0.3169299999999999,0.32852,0.3294499999999999,0.329312,0.326026
87,0.36074,0.3528800000000001,0.3553200000000001,0.3659239999999999,0.3312600000000001,0.33556,0.3390200000000001,0.333344,0.333112
88,0.37598,0.36675,0.38281,0.377708,0.34027,0.34087,0.3454399999999999,0.3393,0.3635740000000004
89,0.3885,0.3866,0.3958,0.38832,0.3558,0.3508,0.3537,0.3466100000000001,0.38922
90,0.4088299999999999,0.4159499999999999,0.4127699999999999,0.4048840000000007,0.3712799999999999,0.36885,0.36006,0.3706319999999999,0.398009
91,0.4278600000000002,0.4469000000000001,0.43146,0.428356,0.38956,0.3935800000000005,0.3794800000000001,0.402872,0.402324
92,0.4556600000000002,0.4729400000000003,0.47674,0.5577420000000001,0.4211300000000006,0.4241800000000001,0.4060000000000001,0.426867,0.4082420000000001
93,0.5167399999999989,0.4896599999999996,0.5148999999999989,0.590568,0.4440999999999997,0.4574799999999995,0.4570799999999998,0.4342879999999999,0.4309659999999999
94,0.5924499999999999,0.6199,0.65425,0.5981,0.4997,0.4834,0.484,0.4699,0.4915699999999999
95,0.6464399999999998,0.6765999999999998,0.7169399999999999,0.669048,0.5249799999999999,0.5234199999999999,0.5094,0.508188,0.5245399999999999
96,0.73071,0.7650499999999995,0.74581,0.7167600000000001,0.5533299999999999,0.5528,0.5383599999999996,0.5512199999999994,0.6613899999999994
97,0.8536199999999988,0.8460199999999987,0.7606599999999999,1.0303559999999925,0.6214,0.5838599999999997,0.5796399999999999,0.738213999999994,0.765824
98,1.1510700000000007,1.083260000000002,1.3327800000000014,1.3464039999999988,0.6975600000000003,0.8526300000000023,0.9372700000000002,0.923744,0.8196559999999999
