percentiles,hv10,hv20,hv30,hv60,hv90,phv10,phv20,phv30,phv60,phv90
79,0.6144200000000002,0.6285400000000002,0.6222400000000001,0.6496,0.6522800000000001,0.56054,0.5579600000000001,0.5626000000000001,0.5780799999999999,0.5825
80,0.6288,0.636516,0.636532,0.673235,0.6616,0.5822800000000001,0.5731160000000001,0.5739,0.5988760000000001,0.6069500000000003
81,0.646512,0.647952,0.6466399999999999,0.6827799999999999,0.6724919999999999,0.594452,0.587264,0.5850519999999999,0.6362599999999999,0.6195
82,0.6666159999999999,0.658788,0.6646559999999998,0.692605,0.6844199999999998,0.6048,0.6038319999999998,0.596252,0.6443319999999998,0.6341349999999999
83,0.687116,0.678296,0.680984,0.7077399999999999,0.692028,0.61362,0.619056,0.62046,0.668884,0.685
84,0.70418,0.6961799999999999,0.6987599999999999,0.7216750000000001,0.70846,0.62606,0.6399,0.6639399999999998,0.7070599999999991,0.707825
85,0.727252,0.7179120000000001,0.7304960000000001,0.73154,0.7274639999999998,0.6416,0.665176,0.6909,0.7341,0.73086
86,0.745852,0.7407,0.747288,0.7404050000000001,0.7651,0.662064,0.6968599999999998,0.7238639999999998,0.753064,0.743205
87,0.7639720000000001,0.762572,0.77544,0.76794,0.7826,0.6874040000000002,0.7181560000000001,0.741504,0.766208,0.7566600000000001
88,0.7908399999999999,0.7867359999999999,0.801248,0.8200100000000007,0.8459220000000002,0.717328,0.742648,0.759652,0.780928,0.765205
89,0.81178,0.81404,0.83362,0.8424,0.8899400000000028,0.7639200000000002,0.7679000000000002,0.7912200000000001,0.7905,0.79505
90,0.831832,0.84634,0.864352,0.8805350000000006,0.921196,0.792564,0.789816,0.823628,0.799052,0.80863
91,0.8701280000000002,0.8884400000000002,0.889148,0.8961800000000001,0.9379,0.8150160000000002,0.835148,0.8443240000000001,0.8149440000000001,0.82564
92,0.925704,0.923388,0.924528,0.9311900000000004,0.9509280000000002,0.853948,0.879692,0.860688,0.833396,0.8494300000000001
93,0.96022,0.96752,0.962176,1.0182099999999996,0.9643359999999992,0.8981199999999999,0.920804,0.881056,0.8511439999999999,0.8655999999999999
94,0.9927599999999996,1.001659999999999,1.0515799999999995,1.0645250000000002,0.98882,0.9539199999999998,0.9703999999999998,0.9227399999999996,0.8827999999999999,0.8730249999999999
95,1.0581439999999998,1.094492,1.151308,1.08882,1.0286519999999997,1.038408,1.003768,0.945156,0.9296159999999998,0.8929399999999993
96,1.1758719999999994,1.183676,1.1952239999999996,1.145475,1.0752,1.090475999999999,1.048412,1.0393799999999995,1.0409839999999988,1.032225
97,1.2956919999999998,1.2923159999999996,1.2836999999999998,1.21949,1.126816,1.160556,1.1079399999999997,1.128368,1.156396,1.11522
98,1.4335639999999927,1.4489079999999996,1.3600079999999997,1.242995,1.2165879999999998,1.2678679999999998,1.2218199999999997,1.2183999999999993,1.2291879999999993,1.1832
