percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
10,0.0466,0.066034,0.067317,0.0702,0.0542,0.0582,0.0614,0.065,0.0606759999999999,0.0551759999999999,0.057976,0.0572759999999999,0.056276,0.0606759999999999,0.0551759999999999,0.0606,0.0551759999999999,0.0601759999999999,0.0551759999999999,0.059,0.101439,0.1343,0.121513,0.127913,0.1318,0.101439,0.1343,0.101913,0.1343,0.106913,0.1343,0.114413,0.0379,0.0438,0.0439,0.0445,0.0399,0.041,0.0426,0.0434
11,0.047964,0.0669,0.0683,0.0709,0.055,0.0591,0.0622,0.0658,0.061992,0.056292,0.0592,0.0583,0.0571,0.061992,0.056292,0.0619,0.056292,0.0612,0.056292,0.0606919999999999,0.1032,0.1355,0.1231,0.1294,0.133196,0.1034879999999999,0.1355,0.1037,0.1355,0.1082,0.1355,0.116196,0.0383,0.0442,0.0442,0.0449,0.040264,0.0414,0.0429,0.0438
12,0.0488,0.0677,0.0696,0.0716,0.0561,0.0599,0.0634,0.0667,0.0635,0.0571,0.060608,0.059408,0.0581,0.0635,0.0571,0.0635,0.0571,0.062208,0.0571,0.0619,0.105079,0.1371,0.124,0.1304,0.134879,0.104958,0.1371,0.105458,0.1371,0.1095,0.1371,0.1172,0.0387,0.0445,0.0447,0.045411,0.0408,0.042,0.0432,0.0441
13,0.05,0.0687,0.071158,0.0722,0.057,0.060758,0.0646,0.067858,0.0651,0.057848,0.0619,0.0604,0.059,0.0651,0.057848,0.064924,0.057848,0.063848,0.057848,0.0635,0.1067,0.138162,0.125,0.1314,0.1361,0.1067,0.138162,0.106962,0.138162,0.1105,0.138162,0.1187,0.0393,0.0448,0.045158,0.0458,0.0412,0.0425,0.0435,0.0443
14,0.0509,0.0697049999999999,0.0719,0.0727,0.058,0.0616,0.0655,0.0688,0.06704,0.0589,0.0633799999999999,0.0616,0.0602399999999999,0.06704,0.0589,0.06664,0.0589,0.06594,0.0589,0.0649,0.108045,0.1395,0.126145,0.132345,0.1374,0.108145,0.1395,0.108245,0.1395,0.1121,0.1395,0.119945,0.0397,0.045,0.045505,0.0462,0.0416049999999999,0.0429,0.043705,0.0447
15,0.0521,0.070752,0.0723,0.073252,0.059052,0.0624,0.0666,0.069452,0.0684,0.0598,0.064768,0.0627,0.061056,0.0684,0.0598,0.0684,0.0598,0.0676,0.0598,0.0665,0.109428,0.1406,0.127428,0.1336,0.1382,0.1095,0.1406,0.109528,0.1406,0.114328,0.1406,0.1212,0.0401,0.0452,0.0458,0.047404,0.042052,0.0433,0.0443,0.045
16,0.053099,0.0719,0.0729,0.0737,0.0603,0.0633,0.0672,0.0699,0.0698,0.060944,0.065944,0.064372,0.062,0.069772,0.060944,0.069772,0.060944,0.068972,0.060944,0.0678,0.110511,0.141511,0.1282,0.1344,0.139211,0.1106,0.141511,0.1106,0.141511,0.115911,0.141511,0.1222,0.0406,0.0455,0.0464,0.0483,0.0425,0.0438,0.0447,0.0453
17,0.0538,0.0725,0.0736459999999999,0.0747459999999999,0.0611,0.0643919999999999,0.0679,0.0705,0.071088,0.061888,0.0677,0.0657,0.0635,0.0709,0.061888,0.0709,0.061888,0.0698,0.061888,0.069288,0.1117,0.1425,0.1293939999999999,0.135794,0.1401,0.111894,0.1425,0.1123,0.1425,0.1175939999999999,0.1425,0.123294,0.0409,0.0463459999999999,0.0473459999999999,0.0489,0.043,0.0442,0.0451,0.0456459999999999
18,0.054493,0.072993,0.0746,0.075493,0.0621,0.0651,0.069,0.071293,0.0723,0.063404,0.0691,0.0673,0.065012,0.072104,0.063404,0.072204,0.063404,0.071308,0.063404,0.070404,0.1131,0.143577,0.130677,0.1368,0.140877,0.113177,0.143577,0.1135,0.143577,0.1191,0.143577,0.1242,0.0412,0.047093,0.048293,0.0492,0.0433,0.0445,0.0455,0.0463
19,0.0555,0.0735,0.0751,0.0759,0.0632,0.0659,0.0698,0.0719,0.07322,0.06472,0.07002,0.0682,0.06692,0.07312,0.06472,0.07322,0.06472,0.07282,0.06472,0.07194,0.1148,0.14476,0.1314,0.1376,0.1417,0.11496,0.14476,0.115,0.14476,0.12,0.14476,0.12502,0.0417,0.0475,0.04894,0.0497,0.0438,0.0449,0.0461,0.0469
