percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
14,0.2524,0.3199,0.3229,0.327265,0.286995,0.2945649999999999,0.31173,0.319065,0.35606,0.385975,0.372915,0.37686,0.3797,0.3578,0.3823,0.3592049999999999,0.3832,0.3641149999999999,0.3868149999999999,0.3691899999999999,0.2386549999999999,0.2635949999999999,0.2665,0.2692,0.250865,0.2587649999999999,0.2659,0.265665
15,0.257968,0.32278,0.324856,0.3284,0.290668,0.298156,0.315156,0.321256,0.359616,0.3916,0.3772479999999999,0.380316,0.3826,0.361116,0.385,0.3624,0.3873479999999999,0.367216,0.3916,0.372416,0.241356,0.2657,0.268256,0.271456,0.254412,0.2602,0.268368,0.2674
16,0.261941,0.3253,0.326347,0.3294,0.2938,0.302247,0.3172,0.323388,0.362317,0.395085,0.380234,0.3838169999999999,0.385117,0.363517,0.387717,0.365234,0.390417,0.3696,0.3949169999999999,0.375234,0.244,0.267447,0.2693,0.2735,0.2568,0.2616,0.270347,0.269894
17,0.267238,0.327576,0.3283,0.331714,0.2974759999999999,0.3059759999999999,0.3218,0.3266759999999999,0.364836,0.399554,0.382954,0.385418,0.3873,0.366018,0.391118,0.367118,0.393018,0.3736,0.399218,0.379136,0.2464,0.270538,0.271614,0.275138,0.2585,0.263376,0.2723,0.272538
18,0.270329,0.3302,0.3299,0.333729,0.301229,0.3085,0.325987,0.328816,0.367,0.402238,0.385719,0.3878189999999999,0.3893,0.3692189999999999,0.393657,0.370857,0.3956,0.376638,0.401957,0.382657,0.249,0.274329,0.273629,0.2775,0.2602,0.264929,0.2742,0.274929
19,0.27572,0.3327,0.3325,0.3352,0.3051,0.31162,0.32892,0.3317,0.3706,0.40696,0.38782,0.39002,0.3916,0.37374,0.39582,0.37428,0.39772,0.37992,0.40636,0.38502,0.25182,0.27832,0.27862,0.2802,0.26214,0.26682,0.2761,0.27862
20,0.2794,0.3343,0.336,0.3368109999999999,0.3091109999999999,0.3142109999999999,0.330911,0.335922,0.373621,0.410121,0.3896,0.392,0.393721,0.379442,0.3976,0.379121,0.399663,0.3838419999999999,0.4095,0.3873,0.254133,0.282922,0.281,0.2839109999999999,0.2636,0.2687,0.278,0.2813
21,0.284904,0.337402,0.338902,0.339306,0.314,0.318106,0.333402,0.337602,0.37741,0.412444,0.392,0.3942,0.396244,0.3829,0.400488,0.38251,0.402244,0.388,0.4122,0.389644,0.256602,0.285002,0.284502,0.2854,0.265602,0.270102,0.279804,0.284904
22,0.289693,0.339393,0.342386,0.343386,0.3158,0.321393,0.336586,0.340293,0.380646,0.4146,0.394623,0.397623,0.399515,0.386269,0.402846,0.385669,0.405761,0.3912,0.414123,0.393246,0.2598,0.2873,0.288386,0.286972,0.2677,0.272593,0.282393,0.2869
23,0.293836,0.3413839999999999,0.3468,0.3457,0.318384,0.324552,0.339168,0.3423839999999999,0.383648,0.4175,0.400248,0.403572,0.4042,0.389,0.407272,0.389048,0.409324,0.39482,0.4168,0.3975,0.262084,0.2889,0.290568,0.291236,0.2698,0.2747,0.2838,0.2878
24,0.298725,0.343675,0.348875,0.347925,0.3204,0.32895,0.3421,0.3456,0.3868,0.4225,0.4062,0.40775,0.40895,0.391625,0.410725,0.392,0.41365,0.3988,0.42105,0.401675,0.2639,0.291075,0.292375,0.294175,0.2719,0.276375,0.2854,0.289275
25,0.302166,0.3468,0.352032,0.352032,0.3237,0.3329,0.344166,0.348566,0.38863,0.4270259999999999,0.410904,0.414852,0.4138259999999999,0.394252,0.415,0.396378,0.416726,0.4032,0.425652,0.405904,0.266966,0.2928,0.2936,0.297232,0.273566,0.2786,0.2875,0.290566
26,0.307371,0.3488,0.3536,0.355214,0.3267,0.3363569999999999,0.3463,0.350657,0.3909,0.430854,0.4152,0.419,0.4192,0.3969,0.4212,0.398327,0.421527,0.406662,0.429108,0.412727,0.269157,0.2947,0.296271,0.2997,0.274871,0.280914,0.289157,0.2914569999999999
27,0.3114,0.352996,0.356496,0.3586,0.329796,0.3409,0.349948,0.3521,0.392928,0.433512,0.4201,0.4227,0.425268,0.399112,0.426428,0.400968,0.426328,0.41,0.433128,0.4164,0.271,0.296248,0.2976,0.302644,0.276848,0.2827,0.289948,0.292548
28,0.316839,0.3579,0.358739,0.360878,0.333434,0.3456559999999999,0.352539,0.3534,0.395316,0.436987,0.4244,0.4272,0.429458,0.4015,0.430116,0.403729,0.430758,0.414058,0.436229,0.420616,0.2727,0.2979,0.2989,0.304939,0.279178,0.284339,0.291839,0.293439
29,0.3208,0.36035,0.3598,0.3630299999999999,0.3373,0.34946,0.35563,0.3549299999999999,0.3977,0.44166,0.4282,0.43083,0.43226,0.4046,0.43466,0.40656,0.43623,0.41766,0.4405799999999999,0.42539,0.2751,0.29933,0.3011,0.3075,0.28126,0.28573,0.2933,0.29533
30,0.3243,0.364642,0.362421,0.366426,0.341242,0.351721,0.359421,0.357,0.3996,0.4454,0.4322,0.4348,0.435831,0.4076,0.438031,0.4111239999999999,0.440662,0.422331,0.4454,0.4294,0.276621,0.3004,0.3037,0.309121,0.283,0.2873,0.294921,0.2976
31,0.328212,0.3681,0.366612,0.372212,0.3439,0.3557,0.363912,0.359612,0.402664,0.449728,0.435532,0.4386,0.4402,0.4112,0.4404,0.414032,0.444064,0.4258,0.4492,0.431728,0.2788,0.302512,0.3068,0.3107,0.284612,0.2892,0.296812,0.299524
32,0.331203,0.370603,0.37,0.378,0.347603,0.3585,0.365706,0.3633,0.4052,0.451866,0.439133,0.441633,0.443033,0.413933,0.444433,0.417,0.446433,0.429233,0.451866,0.434666,0.280406,0.303803,0.3097,0.3117,0.2861,0.2913,0.2983,0.3011
33,0.3344,0.3731879999999999,0.372594,0.3812,0.351094,0.361194,0.3675879999999999,0.3658,0.407834,0.454568,0.4418,0.444,0.445934,0.417468,0.447668,0.421668,0.44877,0.433502,0.454534,0.4376,0.283294,0.305594,0.312588,0.3129,0.287894,0.293494,0.2996,0.302694
34,0.337485,0.3766699999999999,0.3756,0.383485,0.3544699999999999,0.364785,0.3700549999999999,0.36987,0.411135,0.4584,0.443835,0.447535,0.4486,0.4214,0.449735,0.424835,0.45127,0.4364699999999999,0.45687,0.439905,0.2847,0.307385,0.313985,0.3141,0.28967,0.295085,0.301285,0.3044
35,0.340404,0.379052,0.3802,0.3858,0.357704,0.3694759999999999,0.372552,0.373276,0.413,0.461672,0.447036,0.449808,0.451772,0.424572,0.453,0.429072,0.453836,0.4391,0.461136,0.4435,0.2868759999999999,0.3091759999999999,0.3154,0.315,0.2921,0.2972,0.3029,0.306352
36,0.3425,0.381534,0.384968,0.3876,0.3619,0.3716669999999999,0.374701,0.3776339999999999,0.415037,0.463937,0.4492,0.4524,0.454674,0.4282,0.4552,0.4328,0.4556,0.443874,0.463737,0.446674,0.2887,0.311234,0.3171,0.3165,0.2937,0.2992,0.3043,0.3081
37,0.3459,0.383558,0.389658,0.389558,0.364358,0.375758,0.377758,0.381458,0.417476,0.4672759999999999,0.451914,0.454876,0.456938,0.4304,0.457876,0.435014,0.45818,0.446552,0.466738,0.449314,0.290758,0.313458,0.3182,0.3177,0.295858,0.301058,0.306358,0.3094
38,0.348,0.3868,0.393,0.392149,0.368198,0.3779,0.381198,0.384749,0.4198,0.471278,0.454,0.4572,0.460239,0.4322,0.4622,0.438439,0.4612,0.449339,0.4698,0.452439,0.292149,0.316549,0.319498,0.318749,0.2982,0.302498,0.3079,0.3105
39,0.3504,0.39028,0.39552,0.3955,0.3707,0.38054,0.384,0.3879,0.42508,0.47576,0.45692,0.46072,0.4645800000000001,0.43604,0.46628,0.44168,0.4644,0.45204,0.47462,0.45484,0.2937,0.32054,0.3214,0.32004,0.3005,0.3047,0.30968,0.31164
40,0.353462,0.393462,0.3995,0.3995,0.373631,0.383131,0.3866,0.390231,0.4284,0.48,0.4606,0.464341,0.4685,0.438741,0.473,0.444082,0.468641,0.455241,0.479082,0.4579229999999999,0.296,0.3223,0.323,0.322231,0.3023,0.3061,0.311762,0.313131
41,0.358022,0.397922,0.401422,0.402,0.3766,0.3863,0.3883,0.394266,0.4315,0.4824,0.4642,0.467284,0.472542,0.4428,0.476542,0.448168,0.473342,0.4584,0.4822,0.4604,0.297944,0.3232,0.324,0.3235,0.304322,0.3086,0.313722,0.3158
42,0.360713,0.401626,0.4035,0.4051,0.380326,0.3882259999999999,0.3912,0.398013,0.4344,0.4853,0.467143,0.471143,0.4758,0.445843,0.479443,0.451,0.477029,0.463143,0.4848,0.462886,0.2996129999999999,0.324113,0.325,0.3253,0.306213,0.3107129999999999,0.315913,0.3187389999999999
43,0.3635199999999999,0.404504,0.406004,0.4082,0.384704,0.390404,0.393608,0.4,0.436944,0.487776,0.471,0.4744,0.478644,0.450632,0.481344,0.4554,0.480088,0.466688,0.486888,0.465976,0.302204,0.3258,0.327112,0.3289,0.308604,0.3123,0.3177,0.3209
44,0.3677,0.4071,0.4081,0.41029,0.38669,0.3931,0.397095,0.402,0.440045,0.49009,0.47538,0.478045,0.48329,0.45309,0.4838,0.45889,0.4828,0.468825,0.489345,0.46859,0.304,0.3272,0.329285,0.331495,0.3111,0.314195,0.3192,0.323295
45,0.371858,0.409572,0.4117,0.412186,0.390886,0.3961,0.399986,0.404986,0.443384,0.4932,0.478246,0.4816,0.485584,0.456346,0.4861,0.462046,0.4848,0.472692,0.491892,0.472184,0.3059,0.329886,0.331772,0.335286,0.313958,0.3163,0.320872,0.325744
46,0.3755,0.412108,0.413677,0.4147,0.3944,0.399177,0.403,0.4075,0.4482,0.495247,0.480294,0.4839,0.488035,0.459047,0.4882,0.465188,0.486594,0.476,0.494494,0.4758,0.307477,0.332277,0.3336,0.337477,0.3161,0.3184,0.323377,0.327777
47,0.379368,0.414368,0.4153,0.4164,0.3975,0.4027,0.407204,0.410468,0.4534,0.497748,0.483148,0.487048,0.490744,0.463244,0.4912,0.469348,0.488548,0.4782,0.497248,0.4798,0.308668,0.333768,0.335,0.339568,0.3191,0.3209,0.3255,0.330836
48,0.3832,0.4163,0.416359,0.419359,0.400559,0.4063,0.4113,0.4139589999999999,0.456349,0.5006,0.4865,0.489947,0.4936,0.467449,0.494098,0.471498,0.4912,0.4822,0.499147,0.4828,0.3116,0.3358,0.337759,0.3407179999999999,0.322077,0.3234,0.3287179999999999,0.333559
49,0.38795,0.4182,0.41865,0.42125,0.40425,0.4099,0.41405,0.4167,0.4613,0.50425,0.48975,0.4941,0.497,0.4718,0.4967,0.476,0.4942499999999999,0.4845,0.50335,0.4871499999999999,0.3141,0.3376,0.34,0.3421,0.32405,0.3261,0.33235,0.337
50,0.391841,0.420723,0.4212,0.4233,0.407441,0.413441,0.4176,0.419741,0.465702,0.510151,0.493702,0.497353,0.5007,0.475302,0.5011019999999999,0.479055,0.4977,0.488851,0.509,0.489902,0.316923,0.339441,0.3422,0.3429,0.327,0.328882,0.335741,0.339
51,0.3953,0.421932,0.4226,0.425232,0.4112639999999999,0.416332,0.420396,0.422732,0.47,0.5134,0.497152,0.500952,0.5056039999999999,0.479104,0.5042519999999999,0.482752,0.502,0.492004,0.512904,0.494,0.319832,0.3412,0.3453639999999999,0.3439319999999999,0.328432,0.331464,0.3387,0.341032
52,0.400146,0.4238,0.425023,0.427846,0.415323,0.420323,0.423823,0.4256459999999999,0.475,0.5172,0.501953,0.507518,0.509553,0.484459,0.508153,0.4859529999999999,0.5078,0.496106,0.516512,0.4984,0.323269,0.343423,0.3480229999999999,0.345869,0.331146,0.3343689999999999,0.3397,0.3432
53,0.4053840000000001,0.4252,0.428914,0.431642,0.4188,0.4247,0.428328,0.4293,0.478908,0.522362,0.506254,0.5106080000000001,0.512554,0.489854,0.5116080000000001,0.490408,0.511808,0.5006,0.5217080000000001,0.500762,0.3255,0.345814,0.349314,0.3486,0.3331,0.337114,0.3412,0.346
54,0.409915,0.42651,0.431205,0.435005,0.421505,0.4277,0.431005,0.432105,0.485155,0.5263100000000001,0.5102,0.51371,0.51622,0.495965,0.5139100000000001,0.49711,0.514455,0.5049650000000001,0.525555,0.5049100000000001,0.328405,0.34831,0.3506,0.350005,0.33601,0.340505,0.343205,0.34861
55,0.414884,0.428296,0.4333,0.4405,0.4248,0.430296,0.434596,0.436096,0.490312,0.5297,0.514,0.5172680000000001,0.520256,0.4999,0.5167,0.5017920000000001,0.5178,0.509156,0.528312,0.5115,0.3317,0.351596,0.353,0.3517,0.3383,0.3433,0.345796,0.351496
56,0.420774,0.430887,0.4372,0.4458350000000001,0.428574,0.433187,0.4376,0.438987,0.497357,0.5334,0.517514,0.520457,0.522857,0.5035,0.522,0.508157,0.5225,0.5129,0.532814,0.515157,0.334587,0.3548,0.354874,0.352987,0.342,0.3456,0.348474,0.3542
57,0.425112,0.436156,0.441278,0.4542,0.432934,0.4365,0.4410779999999999,0.4407,0.5011899999999999,0.5404,0.519916,0.5236,0.526,0.507216,0.5253319999999999,0.511116,0.526558,0.515916,0.539958,0.520516,0.3377779999999999,0.3587,0.356956,0.3549,0.3461,0.34909,0.351056,0.356778
58,0.4303069999999999,0.4443689999999999,0.4474,0.4566,0.4387,0.441069,0.4444,0.4428,0.506259,0.544518,0.523659,0.525759,0.528918,0.5106590000000001,0.530218,0.5154359999999999,0.531659,0.520077,0.544518,0.523477,0.340769,0.362269,0.3586689999999999,0.359269,0.3493069999999999,0.351769,0.3539,0.357969
59,0.4355799999999999,0.4508,0.4556999999999999,0.46486,0.44136,0.4445,0.44686,0.44506,0.51016,0.54746,0.5265,0.5292,0.5315599999999999,0.5154399999999999,0.53412,0.52038,0.53692,0.52538,0.54762,0.52688,0.34376,0.3645199999999999,0.36112,0.36518,0.3525,0.3539,0.3557,0.35962
60,0.441251,0.454208,0.4694509999999999,0.4738529999999999,0.445051,0.4489019999999999,0.4505,0.446951,0.515922,0.5506,0.5302439999999999,0.5333269999999999,0.535144,0.5222829999999999,0.5367,0.525461,0.541061,0.5282,0.550966,0.530061,0.347251,0.3658,0.363351,0.372002,0.354551,0.356851,0.3591,0.3631
61,0.44521,0.465184,0.476342,0.476868,0.448942,0.452342,0.4543,0.4508,0.5208,0.555962,0.534086,0.536762,0.538324,0.526862,0.54091,0.529,0.543724,0.533848,0.555862,0.533662,0.351142,0.3666,0.36651,0.374684,0.3579,0.3606,0.361726,0.366
62,0.449433,0.469066,0.481233,0.480433,0.452966,0.455133,0.458933,0.4554,0.526163,0.5602630000000001,0.538189,0.5406,0.5414,0.5307,0.544826,0.5326,0.546389,0.5387040000000001,0.5602630000000001,0.539126,0.354133,0.3682,0.371433,0.377633,0.361166,0.363733,0.3654659999999999,0.3693659999999999
63,0.454048,0.474144,0.484624,0.484324,0.457596,0.4594479999999999,0.462548,0.4625,0.5312,0.564528,0.543228,0.543728,0.545464,0.534528,0.5475639999999999,0.5376,0.549464,0.542592,0.564264,0.542856,0.357524,0.370024,0.3779,0.379524,0.3658,0.366848,0.370324,0.3719
64,0.458515,0.48006,0.48773,0.491,0.464145,0.4635,0.46749,0.4689,0.5376,0.56863,0.54753,0.54813,0.54853,0.5392,0.549865,0.54253,0.5524,0.54706,0.5682,0.5477900000000001,0.3602,0.3717,0.37983,0.3826,0.3698,0.3691,0.37433,0.3741
65,0.464106,0.489106,0.493306,0.49773,0.467206,0.4672,0.472924,0.475806,0.545432,0.571866,0.5518,0.551532,0.551866,0.5444,0.553732,0.5495900000000001,0.555932,0.552164,0.5712,0.553998,0.3638,0.374306,0.3828,0.3849,0.374706,0.373006,0.377706,0.376406
66,0.469697,0.494797,0.4978,0.502991,0.4716,0.472594,0.478197,0.480991,0.551602,0.575334,0.5552680000000001,0.557401,0.556501,0.5514,0.557767,0.5550670000000001,0.559934,0.557,0.574501,0.5572,0.368297,0.3772,0.385094,0.3865,0.377897,0.376888,0.3805,0.378194
67,0.4755,0.5002,0.501464,0.5103,0.475,0.47724,0.484176,0.4882520000000001,0.555968,0.58,0.560936,0.5622400000000001,0.561968,0.5552,0.5627679999999999,0.5609400000000001,0.564668,0.562168,0.578468,0.561168,0.373088,0.380088,0.387088,0.387488,0.380288,0.380276,0.3825,0.380388
68,0.481216,0.5028,0.504516,0.513079,0.477379,0.483779,0.4898949999999999,0.4948319999999999,0.5618,0.583069,0.563807,0.5649689999999999,0.5655,0.5612899999999998,0.567338,0.5663,0.5688,0.566969,0.5816,0.5650759999999999,0.378037,0.3836949999999999,0.3885,0.3888,0.383979,0.383158,0.384579,0.3822
69,0.4863099999999999,0.5096,0.50884,0.5187999999999998,0.4823699999999999,0.4896299999999998,0.4948,0.5022099999999999,0.56497,0.58687,0.56877,0.5707399999999999,0.57034,0.5651700000000001,0.5711700000000001,0.5711599999999999,0.5731,0.5711799999999999,0.58557,0.5695399999999999,0.3821699999999999,0.3871699999999999,0.39047,0.3897,0.3874,0.38687,0.38697,0.3846
70,0.4902,0.5114,0.5142099999999998,0.523161,0.487161,0.4969829999999999,0.498361,0.509583,0.5736,0.591942,0.5738,0.5750679999999999,0.5762259999999999,0.572171,0.577171,0.5768,0.578942,0.5784549999999999,0.5908969999999999,0.5732839999999999,0.3877219999999999,0.3912,0.3916,0.3913,0.391061,0.3896219999999999,0.390461,0.386961
71,0.498004,0.5137,0.5195519999999999,0.525704,0.491216,0.503512,0.50546,0.520052,0.5780719999999999,0.597744,0.578,0.579076,0.581372,0.5790719999999999,0.5845440000000001,0.5832160000000001,0.5842160000000001,0.583288,0.597,0.5781,0.3915,0.395204,0.3932,0.3929,0.393404,0.393,0.394,0.389652
72,0.505043,0.5174,0.523943,0.5290860000000001,0.496886,0.508586,0.5106430000000001,0.5247430000000001,0.584973,0.604,0.581773,0.585,0.585673,0.586346,0.591292,0.587646,0.594011,0.590665,0.602573,0.583373,0.396129,0.399115,0.394743,0.394243,0.3968,0.397686,0.395743,0.391943
73,0.510634,0.5203059999999999,0.529234,0.533968,0.503802,0.513,0.5154739999999999,0.528168,0.5914,0.60974,0.589644,0.59,0.591748,0.5932740000000001,0.599696,0.594948,0.60577,0.598096,0.607722,0.588544,0.4003,0.4021679999999999,0.396934,0.3955,0.4006679999999999,0.401134,0.3986,0.395034
74,0.5153,0.5255,0.533825,0.5365249999999999,0.5097750000000001,0.5184,0.521925,0.5314749999999999,0.600225,0.616975,0.595225,0.59675,0.601425,0.5997,0.608825,0.6003,0.6142749999999999,0.607525,0.616225,0.59545,0.405025,0.4044,0.3987,0.3971,0.405475,0.404125,0.401225,0.3984749999999999
75,0.519664,0.530716,0.538132,0.538732,0.517816,0.524,0.528748,0.5349320000000001,0.610232,0.624852,0.601752,0.603064,0.606752,0.608,0.6142759999999999,0.6112,0.621228,0.614576,0.625128,0.601376,0.409948,0.4063,0.4001,0.3984,0.4087,0.4089,0.4042,0.402016
76,0.525528,0.5367350000000001,0.5427260000000003,0.541607,0.5268210000000001,0.529907,0.5328210000000001,0.5380140000000001,0.618,0.635031,0.608154,0.6088,0.612501,0.617908,0.621954,0.620193,0.6278,0.6224540000000001,0.635031,0.6104,0.414521,0.408214,0.401707,0.400014,0.413407,0.413207,0.407307,0.4060210000000001
77,0.53359,0.543498,0.547594,0.545592,0.531592,0.536984,0.537896,0.5404,0.6231559999999999,0.642902,0.6165780000000001,0.616856,0.6206,0.627734,0.631834,0.627578,0.638168,0.63179,0.6431,0.618756,0.419498,0.4099,0.404,0.401698,0.418692,0.418198,0.409698,0.409998
78,0.5397,0.5485669999999999,0.5499890000000001,0.547489,0.539067,0.5427779999999999,0.544356,0.5435669999999999,0.634758,0.6514,0.6284740000000002,0.6299160000000001,0.63,0.639679,0.6406740000000002,0.6394320000000001,0.6467160000000001,0.6407160000000001,0.6512270000000002,0.6321530000000001,0.4237889999999999,0.411,0.4067889999999999,0.4033889999999999,0.4220669999999999,0.4215,0.4122889999999999,0.413178
79,0.5473600000000001,0.55234,0.55266,0.5494,0.5460200000000001,0.55048,0.54918,0.54738,0.6446400000000002,0.6574000000000001,0.63828,0.6365200000000001,0.6398,0.6481600000000001,0.6490000000000001,0.6483000000000001,0.65434,0.6492600000000001,0.65818,0.6404799999999999,0.4276,0.41288,0.41056,0.40596,0.42626,0.42518,0.41618,0.417
80,0.5567,0.557284,0.555,0.551371,0.557439,0.5545,0.5535,0.5505,0.657524,0.667981,0.646086,0.643843,0.650524,0.6592290000000002,0.6534,0.6608860000000001,0.6609430000000001,0.6624860000000001,0.668581,0.6511480000000002,0.433139,0.4137,0.413571,0.409342,0.4312,0.428571,0.419771,0.421271
81,0.5628099999999999,0.56111,0.559424,0.5538,0.5632,0.558762,0.557924,0.5557,0.669856,0.6749820000000001,0.652864,0.65411,0.657964,0.671692,0.660164,0.6702,0.6687639999999999,0.677092,0.6772199999999999,0.665446,0.440662,0.414962,0.4167,0.4134,0.4357,0.434362,0.4235,0.424624
82,0.5731709999999998,0.5669529999999999,0.5635,0.556206,0.5712709999999998,0.5657,0.559906,0.558553,0.682564,0.6852959999999999,0.668813,0.666549,0.668149,0.684881,0.668415,0.689896,0.675149,0.694349,0.6854319999999999,0.677015,0.446853,0.4193059999999999,0.4201059999999999,0.4253239999999998,0.4399119999999998,0.4379059999999999,0.428153,0.4283
83,0.583744,0.57092,0.5664,0.5593440000000001,0.5828,0.571488,0.5644440000000001,0.561188,0.6987359999999999,0.6917679999999999,0.686856,0.6796319999999999,0.6764,0.7019679999999999,0.676568,0.7068799999999998,0.687068,0.713584,0.6936399999999999,0.696584,0.454232,0.4262,0.427344,0.432444,0.4442439999999999,0.4414,0.430644,0.430444
84,0.59357,0.5753,0.5707,0.564835,0.590505,0.576035,0.571445,0.5657749999999999,0.7139949999999999,0.7022799999999999,0.6991,0.6945399999999999,0.686,0.7171399999999999,0.6879099999999999,0.7252799999999999,0.6960850000000001,0.727595,0.7029949999999999,0.70957,0.4586699999999999,0.4297049999999999,0.4315,0.4352049999999999,0.4502049999999999,0.446435,0.4355099999999999,0.4359699999999999
85,0.605478,0.5793,0.574,0.5677779999999999,0.5997379999999998,0.583926,0.5777519999999999,0.5726039999999999,0.7390039999999999,0.7135599999999999,0.7173860000000001,0.7112639999999998,0.705172,0.7385779999999997,0.6966,0.7426039999999998,0.7058879999999998,0.7493159999999999,0.715358,0.7318,0.4638559999999999,0.4368519999999999,0.4350039999999999,0.4402339999999998,0.4545779999999999,0.4519559999999998,0.4397299999999999,0.4386
86,0.619234,0.5863170000000001,0.579017,0.572234,0.608817,0.5939,0.582717,0.581168,0.771922,0.729,0.7355740000000001,0.7288089999999999,0.718774,0.768635,0.711687,0.7730439999999998,0.7160869999999999,0.7693869999999999,0.727174,0.746722,0.4692,0.441834,0.440634,0.446717,0.461234,0.457117,0.446685,0.4422
87,0.630924,0.592708,0.583608,0.5763,0.6153639999999999,0.600816,0.589824,0.590432,0.8090080000000002,0.7433879999999999,0.7498360000000003,0.7438800000000001,0.735828,0.8080760000000006,0.7291759999999999,0.8049920000000002,0.7329680000000001,0.7982640000000001,0.739916,0.767288,0.4756,0.4455159999999999,0.4501159999999999,0.4527,0.4673,0.465016,0.4528,0.446208
