percentiles,hv10,hv120,hv20,hv30,hv60,hv90,phv10,phv120,phv20,phv30,phv60,phv90
85,0.7384059999999999,0.733376,0.76842,0.784316,0.7796279999999999,0.749648,0.622984,0.6238480000000001,0.6381099999999998,0.637,0.634636,0.6286959999999999
86,0.763439,0.743092,0.782308,0.7975029999999999,0.7868,0.755658,0.6352639999999999,0.633964,0.651675,0.6475380000000001,0.6434139999999999,0.638458
87,0.784776,0.7536160000000001,0.8029319999999999,0.806616,0.79478,0.7621,0.6526,0.6567680000000001,0.67184,0.6565,0.650644,0.6492360000000001
88,0.8072780000000004,0.7628240000000001,0.821744,0.831111,0.8020230000000002,0.766013,0.6697399999999999,0.671601,0.6858,0.6658340000000001,0.66071,0.679813
89,0.8354100000000002,0.7712000000000001,0.8588400000000003,0.86225,0.81073,0.7736599999999999,0.6806399999999999,0.6804900000000002,0.7011000000000001,0.67974,0.701,0.69933
90,0.862944,0.8107279999999999,0.881016,0.8908480000000001,0.817401,0.783347,0.699728,0.6901510000000002,0.7189900000000002,0.700136,0.7163800000000001,0.7097230000000001
91,0.8998960000000005,0.8317960000000002,0.908564,0.91304,0.8244640000000003,0.7960240000000002,0.721412,0.7051,0.7401800000000002,0.7125,0.7248640000000001,0.7161120000000001
92,0.9487270000000002,0.8446200000000003,0.948852,0.939605,0.835223,0.807362,0.746672,0.7147810000000002,0.7562850000000001,0.721876,0.7348680000000001,0.722062
93,0.9947759999999994,0.895104,0.9776719999999992,0.952032,0.8600559999999999,0.8416779999999998,0.775368,0.7284759999999999,0.76695,0.7576759999999999,0.747644,0.7333619999999996
94,1.0623499999999997,0.9408,1.04554,0.9915149999999991,0.8771399999999996,0.9097049999999992,0.8198199999999988,0.743565,0.7877000000000001,0.7798699999999995,0.7604699999999999,0.75796
95,1.1541239999999977,1.0989399999999998,1.0863719999999988,1.0305800000000005,0.905852,0.9689519999999994,0.8897239999999996,0.882955999999999,0.82234,0.817008,0.777092,0.793964
96,1.2625829999999998,1.12198,1.1386119999999995,1.068429,1.0259289999999992,1.252835,0.944132,0.902519,0.8590099999999999,0.8433339999999999,0.7863,0.8923680000000002
97,1.4326019999999984,1.1534239999999998,1.253972,1.12603,1.2049799999999966,1.27353,1.0080319999999998,0.918628,0.9218200000000004,0.8948399999999997,0.9043080000000004,0.9407459999999987
98,1.634161,1.157648,1.3438079999999977,1.5812480000000475,1.522126,1.291781,1.1252,0.924182,0.9927449999999988,1.1019080000000023,1.055548,0.982111
