percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
10,0.0162,0.022,0.0239,0.0238,0.0191,0.02,0.0204,0.0211,0.063363,0.0941,0.0819,0.0872,0.091763,0.0636,0.0941,0.0642,0.0941,0.0681,0.0941,0.075663,0.021391,0.0254,0.0265,0.0272,0.0221,0.0223,0.023,0.024791
11,0.0167719999999999,0.0232719999999999,0.0241,0.0242719999999999,0.0195,0.0204,0.0208,0.0215719999999999,0.0645,0.0957,0.0829,0.088196,0.0924,0.0647959999999999,0.0957,0.0653,0.0957,0.0691,0.0957,0.0768959999999999,0.0218,0.0258,0.0271,0.0276,0.0226719999999999,0.0227,0.0237,0.0252719999999999
12,0.0172,0.0239,0.0244,0.024953,0.0199,0.020853,0.0212,0.022,0.0656,0.097,0.083529,0.088929,0.093029,0.0659,0.097,0.066329,0.097,0.070429,0.097,0.077729,0.0222,0.0264,0.027653,0.0279,0.0231,0.0235,0.0241,0.0258
13,0.017634,0.0246,0.0248,0.0254,0.0204,0.0214,0.0215,0.022834,0.0665,0.0977,0.084262,0.0895,0.0939,0.0667,0.0977,0.0671,0.0977,0.0714,0.0977,0.0786,0.022734,0.0269,0.0278,0.0281,0.0237,0.0238,0.0249,0.026
14,0.0182,0.025,0.0251,0.0257,0.0207,0.0217,0.0219,0.0244,0.0673,0.0985,0.0848,0.0903,0.0948,0.067495,0.0985,0.0679,0.0985,0.0724949999999999,0.0985,0.0794,0.0234,0.0278,0.028,0.0282,0.0241149999999999,0.0242,0.0255,0.0266
15,0.0185,0.025396,0.0255,0.0262,0.0211,0.0219,0.0223,0.0247,0.068,0.0991,0.0855,0.0913,0.095428,0.0682,0.0991,0.068728,0.0991,0.073228,0.0991,0.080228,0.0239,0.0283,0.0285,0.028496,0.0246,0.0247,0.0264,0.027196
16,0.0189,0.0257,0.0259,0.0267,0.0217,0.022277,0.022977,0.0252,0.069,0.0998,0.0864,0.092,0.0961,0.0691,0.0998,0.069461,0.0998,0.0742,0.0998,0.080761,0.0245,0.0289,0.0293,0.0293,0.025,0.0255,0.0272,0.0281
17,0.0192579999999999,0.0260579999999999,0.0262,0.0270579999999999,0.0221,0.0227,0.0235,0.0254579999999999,0.0696,0.1004,0.0870939999999999,0.0927,0.0972939999999999,0.0698,0.1004,0.0700939999999999,0.1004,0.075,0.1004,0.0814,0.0249579999999999,0.0293,0.0295,0.0299,0.0256,0.0263579999999999,0.0281579999999999,0.0288
18,0.019739,0.0263,0.0265,0.0275,0.0225,0.0229389999999999,0.024,0.0257,0.0702,0.1013,0.088027,0.0934,0.0981,0.0704,0.1013,0.070854,0.1013,0.0758,0.1013,0.082027,0.0254,0.0299,0.0297,0.0302,0.0264,0.0274,0.0287,0.0294
19,0.0202,0.0265,0.02712,0.0277,0.023,0.0233,0.0245,0.0258,0.0708,0.1021,0.08866,0.0942,0.0991,0.0711,0.1021,0.0714,0.1021,0.0768,0.1021,0.0829,0.0259,0.0307,0.0303,0.0306,0.0271,0.0284,0.0293,0.03
